freq	leg_stat	sex	unit	geo	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A	PER_CNV	F	NR	Albania	569.0	527.0	565.0	511.0	373.0	338.0	401.0	881.0	976.0	1033.0	841.0	735.0	525.0	702.0	570.0	461.0
A	PER_CNV	F	NR	Austria	5406.0	5337.0	5561.0	5426.0	5195.0	5158.0	4947.0	4555.0	4340.0	4368.0	4114.0	4103.0	3620.0	3631.0	3707.0	3926.0
A	PER_CNV	F	NR	Bosnia and Herzegovina				1234.0	1182.0	1698.0	1746.0	1510.0	1274.0	1173.0	1129.0	1166.0	822.0	919.0	925.0	908.0
A	PER_CNV	F	NR	Belgium			19388.0	20364.0	27928.0	21541.0	17976.0	26655.0		46607.0	45365.0	38358.0	27726.0			
A	PER_CNV	F	NR	Bulgaria	2133.0	2467.0	2589.0	2960.0	2842.0	2739.0	2599.0	2341.0	2523.0	2138.0	2022.0	1893.0	2005.0	2014.0	2074.0	1870.0
A	PER_CNV	F	NR	Switzerland	16435.0	16747.0	17785.0	16383.0	17662.0	17187.0	16979.0	18497.0	18613.0	18084.0	18667.0	17081.0	17081.0	17525.0	18911.0	18777.0
A	PER_CNV	F	NR	Cyprus	11202.0	10704.0	12587.0	16516.0	13246.0	11840.0	13757.0	10824.0	8636.0	8725.0	9571.0	8290.0	7662.0	7848.0	8403.0	
A	PER_CNV	F	NR	Czechia	9502.0	9415.0	9186.0	9202.0	9425.0	10957.0	9008.0	9882.0	10121.0	9500.0	9284.0	9619.0	8083.0	7887.0	8169.0	8452.0
A	PER_CNV	F	NR	Germany	158618.0	155970.0	153247.0	154543.0	148325.0	146411.0	147003.0	146233.0	142921.0	136330.0	133917.0	136438.0	129169.0	119409.0	118551.0	120735.0
A	PER_CNV	F	NR	Denmark	31618.0	33946.0	36590.0	38255.0	38439.0	40415.0	41134.0	40744.0	39585.0	36546.0	35982.0	9281.0	10352.0	9593.0	10080.0	11475.0
A	PER_CNV	F	NR	Greece														280.0	308.0	235.0
A	PER_CNV	F	NR	Spain							30120.0	34826.0	54828.0	62407.0	62337.0	62161.0	45337.0	57000.0	61554.0	57030.0
A	PER_CNV	F	NR	Finland	43706.0	39385.0	40889.0	39550.0	37874.0	36851.0	36115.0	37849.0	31775.0	13536.0	13545.0	13986.0	13436.0	13947.0	13572.0	14297.0
A	PER_CNV	F	NR	France	68350.0	67919.0	66886.0	66426.0	70080.0	70057.0	58267.0	67457.0	52051.0	51666.0	55320.0	55268.0	44185.0	50829.0	49144.0	52030.0
A	PER_CNV	F	NR	Croatia	2583.0	2587.0	2445.0	2459.0	2025.0	1752.0	1858.0	1481.0	1756.0	1604.0	1581.0	1728.0	1583.0	1780.0	1647.0	1494.0
A	PER_CNV	F	NR	Hungary	12053.0	13096.0	14269.0	11400.0	9884.0	9168.0	9302.0	8896.0	9088.0	8943.0	8884.0	8460.0	7247.0	7521.0	7594.0	7754.0
A	PER_CNV	F	NR	Iceland						429.0										
A	PER_CNV	F	NR	Italy	41305.0	39118.0	38784.0	41291.0	41373.0	40993.0	38422.0	36623.0	33118.0	30176.0	33034.0					
A	PER_CNV	F	NR	Lithuania	1354.0	1385.0	15.0	14.0	16.0	2110.0	2138.0	1669.0	1451.0	1564.0	1605.0	1543.0	1230.0	1247.0	1263.0	1288.0
A	PER_CNV	F	NR	Luxembourg									1755.0	2069.0	1696.0	1694.0	1606.0	1634.0	1048.0	1178.0
A	PER_CNV	F	NR	Latvia	1051.0	1198.0	1106.0	1038.0	1030.0	971.0	1083.0	1165.0	1024.0	1053.0	994.0	833.0	744.0	689.0	585.0	451.0
A	PER_CNV	F	NR	Montenegro			36.0	64.0	83.0	75.0	233.0		308.0	301.0	256.0	346.0	338.0	363.0	263.0	235.0
A	PER_CNV	F	NR	North Macedonia	673.0	734.0	689.0	683.0	633.0	725.0	1142.0			303.0		427.0	575.0	694.0	780.0	583.0
A	PER_CNV	F	NR	Malta							42.0	19.0	25.0	30.0	35.0	2.0	3.0	7.0	16.0	8.0
A	PER_CNV	F	NR	Netherlands	14722.0	14649.0	12513.0	12008.0	10575.0	11562.0	11161.0	11607.0	10025.0	9980.0	9140.0	8673.0	6019.0	6196.0	5842.0	6127.0
A	PER_CNV	F	NR	Norway	10510.0	10160.0	10508.0	10358.0	10024.0	10386.0	10225.0	11134.0	10237.0	9673.0	2120.0	2031.0	1884.0	1820.0	1639.0	1700.0
A	PER_CNV	F	NR	Poland	40440.0	39077.0	40736.0	39795.0	38137.0	36074.0	32669.0	29466.0	32312.0	28688.0	30419.0	32186.0	30620.0			
A	PER_CNV	F	NR	Portugal	9188.0	8360.0	8318.0	8583.0	9290.0	8868.0	6835.0	7541.0	7381.0	6560.0	6372.0	6223.0	4552.0	5474.0	6003.0	5474.0
A	PER_CNV	F	NR	Romania	2387.0	1822.0	2113.0	2567.0	2818.0	2581.0	2858.0	2878.0	2516.0	1990.0	2448.0	5542.0	4962.0	5499.0	5626.0	4898.0
A	PER_CNV	F	NR	Serbia	3926.0	3895.0	2291.0	3120.0	3230.0	3332.0	3495.0	3226.0	3200.0	3055.0	3094.0	2984.0	2856.0	2974.0	2809.0	3061.0
A	PER_CNV	F	NR	Sweden	10300.0	10901.0	11509.0	11169.0	10923.0	9474.0	9455.0	9445.0	9051.0	8659.0	9309.0	9480.0	10753.0	12236.0	12483.0	13312.0
A	PER_CNV	F	NR	Slovenia	1061.0	978.0	949.0	963.0	1116.0	1406.0	1401.0	1137.0	1026.0	888.0	802.0	904.0	746.0	933.0	796.0	713.0
A	PER_CNV	F	NR	Slovakia	4055.0	4582.0	4600.0	4636.0	5191.0	5267.0	5116.0	4640.0	4380.0	4365.0	4745.0	4467.0	3924.0	3281.0	3962.0	3935.0
A	PER_CNV	F	NR	Turkey		92704.0	86101.0	79420.0	100918.0	34316.0	32686.0	35895.0	31886.0	30318.0	39430.0	42554.0	34237.0	47109.0	47213.0	50066.0
A	PER_CNV	F	NR	England and Wales	288451.0	314914.0	305249.0	300008.0	294463.0	285322.0	306516.0	314302.0	309507.0							
A	PER_CNV	F	NR	Scotland	10067.0	9399.0	9146.0	8871.0	8119.0	7455.0				14535.0						
A	PER_CNV	F	NR	Northern Ireland	7610.0	7772.0	7769.0	7934.0	8602.0	7928.0	4419.0	7850.0	7501.0	4484.0	4462.0					
A	PER_CNV	F	NR	Kosovo	453.0	510.0	405.0	655.0	843.0	590.0	761.0	785.0	874.0	1011.0	1044.0	941.0				
A	PER_CNV	F	P_HTHAB	Albania	35.98	32.94		36.24				61.84	68.87	72.59	58.74	51.3	36.83	49.45	40.53	33.05
A	PER_CNV	F	P_HTHAB	Austria	126.74	124.75	129.76	126.29	120.53	119.17	113.69	103.89	98.01	97.93	91.75	91.14	80.05	80.05	81.41	84.98
A	PER_CNV	F	P_HTHAB	Bosnia and Herzegovina				62.78	60.19											
A	PER_CNV	F	P_HTHAB	Belgium			350.74	363.71	494.91	379.63	316.09	466.55		808.8	784.27	660.13	474.66			
A	PER_CNV	F	P_HTHAB	Bulgaria	55.29	64.39	67.99	78.3	75.58	73.25	69.85	63.27	68.62	58.55	55.74	52.52	55.98	56.46	61.65	55.85
A	PER_CNV	F	P_HTHAB	Switzerland	216.44	217.44	228.43	208.17	222.03	422.23	412.36	444.24	442.57	425.9	436.38	396.55	393.83	401.24	429.74	423.34
A	PER_CNV	F	P_HTHAB	Cyprus	2829.68	2629.95	3000.23	3832.08	2989.95	2661.62	3123.31	2487.23	1982.43	1991.38	2161.82	1850.17	1689.4	1712.2	1812.47	
A	PER_CNV	F	P_HTHAB	Czechia	180.02	177.34	172.48	172.34	176.26	204.74	168.37	184.32	188.56	176.64	172.24	177.94	149.08	148.14	153.18	153.14
A	PER_CNV	F	P_HTHAB	Germany	378.17	372.97	367.51	376.04	360.91	355.86	356.71	353.54	343.05	325.96	319.24	324.45	306.6	283.44	281.12	286.11
A	PER_CNV	F	P_HTHAB	Denmark	577.41	615.92	661.1	687.96	688.81	1431.24	1450.96	1430.27	1379.57	1265.18	1238.74	318.17	353.81	326.83	341.64	384.6
A	PER_CNV	F	P_HTHAB	Greece														5.11	5.76	4.42
A	PER_CNV	F	P_HTHAB	Spain							127.44	147.42	232.0	263.39	262.18	259.79	187.86	235.82	254.38	232.59
A	PER_CNV	F	P_HTHAB	Finland	1616.53	1450.83	1499.77	1445.09	1377.87	1335.16	1303.36	1361.53	1140.6	484.99	484.79	500.46	480.37	498.11	483.83	508.7
A	PER_CNV	F	P_HTHAB	France	206.95	204.56	200.52	198.19	208.13	207.1	170.77	196.76	151.35	149.78	159.83	159.27	126.86	145.45	139.98	147.86
A	PER_CNV	F	P_HTHAB	Croatia	115.57	115.85	109.73	110.71	91.48	79.43	84.57	67.75	81.0	74.64	74.45	82.14	75.87	85.93	82.35	75.11
A	PER_CNV	F	P_HTHAB	Hungary	228.46	248.6	271.41	217.48	189.81	176.55	179.78	172.41	176.74	174.59	173.97	165.98	144.2	150.3	152.44	155.88
A	PER_CNV	F	P_HTHAB	Iceland						267.42										
A	PER_CNV	F	P_HTHAB	Italy	136.58	128.55	126.99	134.72	134.91	133.11	122.76	117.03	106.12	96.89	106.37					
A	PER_CNV	F	P_HTHAB	Lithuania	78.48	80.97	91.86	89.89	99.68	131.63	134.68	105.97	93.08	101.84	106.18	102.96	82.56	84.14	84.23	84.66
A	PER_CNV	F	P_HTHAB	Luxembourg									611.38	703.68	566.42	555.09	516.16	518.28	327.16	358.75
A	PER_CNV	F	P_HTHAB	Latvia	88.71	102.38	96.21	92.13	92.79	88.49	99.87	108.38	96.18	99.86	95.14	80.48	72.46	67.68	58.11	44.62
A	PER_CNV	F	P_HTHAB	Montenegro			11.47	20.4	26.44	23.88	74.12		97.94	95.67	81.37	110.03	107.53	115.65	84.16	75.32
A	PER_CNV	F	P_HTHAB	North Macedonia	65.98	71.83	67.29	66.54	61.58	70.45	110.77			29.27		41.18	55.47	67.14	84.22	63.17
A	PER_CNV	F	P_HTHAB	Malta							19.54	8.67	11.16	13.12	14.89	0.83	1.21	2.82	6.41	3.11
A	PER_CNV	F	P_HTHAB	Netherlands	177.52	175.87	149.47	142.74	125.19	136.47	131.38	136.11	117.09	115.96	105.62	99.68	68.71	70.5	66.05	68.37
A	PER_CNV	F	P_HTHAB	Norway	221.86	211.7	216.29	210.52	201.05	412.9	402.41	433.69	395.69	370.73	80.69	76.84	70.8	68.11	60.98	62.42
A	PER_CNV	F	P_HTHAB	Poland	205.24	198.15	207.72	202.69	194.21	183.71	166.56	150.27	164.94	146.4	155.23	164.28	156.35			
A	PER_CNV	F	P_HTHAB	Portugal	167.55	152.47	150.97	155.51	168.54	161.48	124.97	138.34	135.68	120.87	117.49	114.73	83.55	100.41	110.07	99.6
A	PER_CNV	F	P_HTHAB	Romania	22.55	17.37	19.19	23.36	27.31	25.16	28.02	28.32	24.88	19.82	24.53	55.9	50.28	56.03	57.39	50.03
A	PER_CNV	F	P_HTHAB	Serbia	103.74	103.36	61.04	83.86	87.24	90.43	95.31	88.38	88.15	84.6	86.16	83.56	80.4	84.36	80.51	89.72
A	PER_CNV	F	P_HTHAB	Sweden	112.16	117.77	123.21	118.62	115.19	197.79	195.74	193.74	183.96	173.81	184.79	186.33	209.54	237.3	240.45	254.86
A	PER_CNV	F	P_HTHAB	Slovenia	103.64	95.1	91.88	92.99	107.44	135.22	134.68	109.26	98.57	85.32	77.13	86.74	71.4	88.94	75.85	67.67
A	PER_CNV	F	P_HTHAB	Slovakia	146.79	165.77	166.25	167.53	187.23	189.81	184.23	166.97	157.54	156.81	170.28	160.15	140.52	117.46	142.68	141.87
A	PER_CNV	F	P_HTHAB	Turkey		260.29	238.51	216.52	271.35	91.09	85.58	92.72	81.28	76.23	97.9	104.14	82.63	112.98	111.74	117.59
A	PER_CNV	F	P_HTHAB	England and Wales	1036.73	1123.86	1081.79	1055.14	1028.51	990.29	1056.73	1075.56	1051.38							
A	PER_CNV	F	P_HTHAB	Scotland	375.6	348.95	337.9	325.96	297.11	272.24				522.68						
A	PER_CNV	F	P_HTHAB	Northern Ireland	842.04	852.73	846.75	859.94	927.92	851.72	472.46	435.83	409.59	472.56						
A	PER_CNV	F	P_HTHAB	Kosovo	42.51	47.25	37.06	73.6					98.39	112.17	114.68	103.38				
A	PER_CNV	M	NR	Albania		7143.0	7945.0	9243.0	9189.0	8239.0	13217.0	15260.0	13638.0	9878.0	10773.0	10317.0	9328.0	11901.0	10852.0	8395.0
A	PER_CNV	M	NR	Austria	32820.0	32531.0	32833.0	31035.0	30346.0	29266.0	28033.0	27563.0	26110.0	26378.0	23541.0	23181.0	20096.0	20100.0	20759.0	21107.0
A	PER_CNV	M	NR	Bosnia and Herzegovina				14475.0	16664.0	17317.0	16696.0	15961.0	15318.0	13863.0	13318.0	12450.0	9880.0	10437.0	9845.0	9794.0
A	PER_CNV	M	NR	Belgium			119526.0	119972.0	132878.0	116738.0	96008.0	103233.0		183993.0	176669.0	158204.0	126401.0			
A	PER_CNV	M	NR	Bulgaria	34004.0	38405.0	36481.0	38053.0	35154.0	31374.0	29250.0	25446.0	25778.0	23662.0	21951.0	21496.0	19884.0	22107.0	21973.0	21167.0
A	PER_CNV	M	NR	Switzerland	83613.0	85779.0	89150.0	85520.0	91461.0	89912.0	90607.0	89602.0	89780.0	87072.0	87518.0	80089.0	80089.0	81387.0	84533.0	87139.0
A	PER_CNV	M	NR	Cyprus	52573.0	51762.0	63106.0	70297.0	58299.0	48979.0	54951.0	43271.0	36688.0	34752.0	29931.0	31685.0	27879.0	25715.0	28581.0	
A	PER_CNV	M	NR	Czechia		64372.0	61465.0	60958.0	62046.0	67019.0	63817.0	55687.0	51302.0	46205.0	45164.0	45975.0	40475.0	41760.0	42058.0	42947.0
A	PER_CNV	M	NR	Germany	716073.0	688550.0	660019.0	653272.0	625576.0	609527.0	601779.0	593254.0	594952.0	579714.0	578421.0	592430.0	570100.0	542691.0	528823.0	536166.0
A	PER_CNV	M	NR	Denmark	128687.0	136412.0	143228.0	156288.0	165904.0	161335.0	161698.0	154462.0	150217.0	141388.0	146822.0	42157.0	45928.0	43244.0	42598.0	45749.0
A	PER_CNV	M	NR	Greece														5146.0	4456.0	4059.0
A	PER_CNV	M	NR	Spain							203755.0	202017.0	229626.0	236572.0	237964.0	238882.0	187338.0	238805.0	261096.0	236314.0
A	PER_CNV	M	NR	Finland	194076.0	167045.0	165181.0	163372.0	153141.0	145790.0	136880.0	143819.0	124237.0	68851.0	69221.0	68874.0	67199.0	66751.0	63947.0	64437.0
A	PER_CNV	M	NR	France	635345.0	634350.0	615603.0	596991.0	609139.0	597522.0	520215.0	570033.0	416532.0	415314.0	490959.0	494284.0	414074.0	479372.0	455235.0	465827.0
A	PER_CNV	M	NR	Croatia	22543.0	23768.0	22910.0	21744.0	19149.0	15410.0	13594.0	11491.0	12021.0	10820.0	10587.0	11567.0	10319.0	10770.0	10982.0	10029.0
A	PER_CNV	M	NR	Hungary	72404.0	73805.0	75074.0	73710.0	65407.0	61158.0	67015.0	61909.0	62598.0	59792.0	57797.0	55583.0	6503.0	47415.0	47813.0	47922.0
A	PER_CNV	M	NR	Iceland						3051.0										
A	PER_CNV	M	NR	Italy	219070.0	212958.0	215600.0	224748.0	218550.0	205987.0	188517.0	184342.0	176803.0	164544.0	182957.0					
A	PER_CNV	M	NR	Lithuania	11434.0	11665.0	124.0	122.0	150.0	17420.0	18220.0	15604.0	14057.0	16494.0	18174.0	16021.0	14830.0	13763.0	13696.0	13429.0
A	PER_CNV	M	NR	Luxembourg									6677.0	7477.0	6509.0	5888.0	5898.0	6398.0	4906.0	5398.0
A	PER_CNV	M	NR	Latvia	9933.0	9502.0	8520.0	8156.0	7912.0	7655.0	8130.0	8393.0	7905.0	8209.0	7593.0	6951.0	6329.0	5260.0	4232.0	3745.0
A	PER_CNV	M	NR	Montenegro			637.0	1057.0	1361.0	1256.0	1301.0		3394.0	3227.0	3088.0	3265.0	3365.0	3172.0	2739.0	2489.0
A	PER_CNV	M	NR	North Macedonia	9545.0	9815.0	9027.0	9849.0	8965.0	9287.0	11002.0			2465.0		4589.0	6126.0	7322.0	7251.0	6252.0
A	PER_CNV	M	NR	Malta							66.0	54.0	29.0	48.0	50.0	11.0	11.0	20.0	39.0	16.0
A	PER_CNV	M	NR	Netherlands	100007.0	99944.0	85313.0	81094.0	77062.0	80464.0	77585.0	79747.0	71696.0	71947.0	69274.0	68063.0	53389.0	55875.0	56680.0	60739.0
A	PER_CNV	M	NR	Norway	55993.0	54005.0	56475.0	54323.0	53404.0	56662.0	53634.0	55298.0	52106.0	50051.0	12790.0	12702.0	12369.0	11682.0	11180.0	11007.0
A	PER_CNV	M	NR	Poland	407246.0	401148.0	414913.0	406476.0	390950.0	336269.0	279072.0	242805.0	268555.0	222405.0	255103.0	264712.0	230936.0			
A	PER_CNV	M	NR	Portugal	78622.0	69733.0	69458.0	69228.0	69922.0	62303.0	46026.0	51585.0	49084.0	44908.0	40316.0	39089.0	30793.0	37217.0	39844.0	36809.0
A	PER_CNV	M	NR	Romania	34408.0	32404.0	39778.0	45010.0	46370.0	44552.0	37974.0	39398.0	30204.0	33406.0	29756.0	28141.0	26521.0	29818.0	27281.0	26541.0
A	PER_CNV	M	NR	Serbia	40441.0	38887.0	21030.0	29977.0	30394.0	31557.0	33915.0	31889.0	31357.0	30337.0	28204.0	26804.0	23870.0	25917.0	24604.0	25312.0
A	PER_CNV	M	NR	Sweden	59154.0	60814.0	63001.0	62511.0	60186.0	54916.0	51207.0	49899.0	47608.0	48713.0	51256.0	53228.0	58243.0	62345.0	64153.0	66690.0
A	PER_CNV	M	NR	Slovenia	8167.0	7475.0	7474.0	7002.0	7709.0	10352.0	8328.0	7104.0	5980.0	5633.0	5522.0	5352.0	4261.0	5041.0	4771.0	4545.0
A	PER_CNV	M	NR	Slovakia	24626.0	26371.0	26579.0	25474.0	29886.0	30812.0	28494.0	25051.0	22807.0	21965.0	24640.0	23964.0	21468.0	20361.0	21396.0	20028.0
A	PER_CNV	M	NR	Turkey		1195630.0	1127116.0	1158027.0	1365128.0	465927.0	459973.0	485039.0	427306.0	415116.0	515936.0	549838.0	458084.0	645172.0	635129.0	632172.0
A	PER_CNV	M	NR	England and Wales	1046179.0	1048347.0	1015566.0	960706.0	879875.0	833870.0	848179.0	851508.0	841504.0							
A	PER_CNV	M	NR	Scotland	50331.0	47029.0	45618.0	44377.0	39986.0	38203.0				68179.0						
A	PER_CNV	M	NR	Northern Ireland	30649.0	31305.0	31526.0	32183.0	29993.0	27048.0	22188.0	23563.0	22411.0	19372.0	20459.0					
A	PER_CNV	M	NR	Kosovo	12801.0	12905.0	9520.0	17712.0	20147.0	15242.0	17573.0	16122.0	17677.0	18508.0	19390.0	17060.0				
A	PER_CNV	M	P_HTHAB	Albania		450.77		650.09				1044.35	935.1	679.58	748.85	721.67	656.62	844.05	782.37	614.15
A	PER_CNV	M	P_HTHAB	Austria	811.88	801.86	807.46	760.87	740.48	709.72	674.58	656.2	611.11	611.67	542.6	532.04	458.94	457.13	469.08	470.63
A	PER_CNV	M	P_HTHAB	Bosnia and Herzegovina				770.98	888.46											
A	PER_CNV	M	P_HTHAB	Belgium			2250.02	2221.0	2437.33	2127.37	1747.57	1868.79		3291.9	3146.81	2802.64	2224.89			
A	PER_CNV	M	P_HTHAB	Bulgaria	928.98	1056.29	1009.45	1060.29	985.6	885.0	829.8	726.61	741.35	685.86	641.39	633.04	590.09	659.97	704.67	682.92
A	PER_CNV	M	P_HTHAB	Switzerland	1101.11	1113.74	1145.03	1086.64	1149.78	2265.63	2252.73	2199.43	2178.35	2086.34	2080.57	1890.17	1876.12	1891.58	1948.57	1989.5
A	PER_CNV	M	P_HTHAB	Cyprus	13818.35	13274.83	15792.09	17197.71	13914.07	11632.97	13160.72	10507.13	8889.92	8340.55	7100.93	7405.96	6416.77	5875.7	6479.73	
A	PER_CNV	M	P_HTHAB	Czechia		1258.08	1196.71	1184.29	1202.86	1297.72	1236.19	1075.68	989.18	888.44	865.25	876.68	767.74	807.6	811.34	809.02
A	PER_CNV	M	P_HTHAB	Germany	1777.99	1713.48	1645.78	1669.72	1594.64	1547.77	1521.3	1489.26	1468.51	1424.46	1416.19	1446.13	1389.21	1322.78	1287.71	1310.29
A	PER_CNV	M	P_HTHAB	Denmark	2350.11	2475.07	2587.8	2810.62	2972.92	5805.81	5790.9	5494.89	5293.27	4943.33	5104.24	1459.19	1585.41	1488.68	1457.38	1551.34
A	PER_CNV	M	P_HTHAB	Greece														99.04	87.12	79.69
A	PER_CNV	M	P_HTHAB	Spain							890.64	885.01	1006.8	1036.02	1039.97	1038.2	807.52	1028.12	1121.12	1002.79
A	PER_CNV	M	P_HTHAB	Finland	7473.7	6396.14	6292.45	6192.05	5773.38	5467.22	5106.77	5342.73	4598.83	2538.45	2545.7	2529.07	2463.07	2441.69	2331.19	2340.2
A	PER_CNV	M	P_HTHAB	France	2050.81	2036.57	1966.67	1897.44	1927.33	1880.62	1623.38	1771.71	1291.68	1285.23	1514.64	1522.0	1268.42	1462.3	1380.23	1407.83
A	PER_CNV	M	P_HTHAB	Croatia	1085.37	1144.47	1104.28	1051.07	928.52	749.34	663.2	563.5	594.28	539.59	534.21	586.39	523.37	548.11	589.7	538.65
A	PER_CNV	M	P_HTHAB	Hungary	1518.04	1549.53	1578.21	1553.78	1384.37	1296.83	1424.82	1318.4	1335.13	1278.89	1237.2	1188.73	139.43	1020.26	1032.93	1036.09
A	PER_CNV	M	P_HTHAB	Iceland						1889.89										
A	PER_CNV	M	P_HTHAB	Italy	771.07	745.39	752.55	782.68	760.79	713.01	639.38	624.85	600.22	558.8	621.72					
A	PER_CNV	M	P_HTHAB	Lithuania	768.71	791.73	857.68	868.23	1085.35	1272.56	1343.66	1159.07	1057.23	1256.99	1400.92	1236.58	1136.96	1047.73	1048.22	1005.3
A	PER_CNV	M	P_HTHAB	Luxembourg									2308.84	2520.56	2151.17	1907.23	1872.59	2002.78	1509.24	1623.73
A	PER_CNV	M	P_HTHAB	Latvia	986.36	957.24	877.51	860.39	846.37	826.16	886.54	921.09	874.16	916.51	853.49	785.5	718.42	600.99	486.96	429.31
A	PER_CNV	M	P_HTHAB	Montenegro			208.7	345.28	444.25	409.39	423.56		1102.9	1048.57	1003.44	1061.06	1094.11	1033.68	897.52	816.89
A	PER_CNV	M	P_HTHAB	North Macedonia	931.0	955.88	877.42	955.4	868.76	898.91	1063.16			237.34		441.17	589.2	707.29	795.93	689.28
