freq	citizen	unit	geo	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A	NAT	P_HTHAB	EE	: 	161.41 	153.30 	157.78 	153.79 	146.27 	137.40 	131.34 	137.09 	131.27 	126.45 	124.55 	117.91 	110.07 	104.15 	89.17 
A	NAT	P_HTHAB	EL	54.90 	45.58 	46.22 	41.28 	41.49 	46.08 	44.99 	39.80 	40.48 	43.83 	44.99 	42.68 	42.73 	42.43 	43.06 	44.94 
A	NAT	P_HTHAB	ES	103.70 	105.79 	102.43 	98.51 	97.62 	97.69 	97.44 	94.18 	91.43 	90.84 	90.76 	89.58 	82.95 	81.91 	82.21 	81.12 
A	NAT	P_HTHAB	FI	60.32 	60.70 	55.87 	52.69 	52.36 	52.28 	48.89 	48.36 	47.84 	45.92 	44.49 	44.27 	41.21 	43.19 	43.26 	42.58 
A	NAT	P_HTHAB	FR	78.71 	76.81 	75.70 	80.39 	82.00 	81.15 	79.55 	79.09 	80.09 	80.17 	80.56 	80.87 	70.09 	76.86 	79.72 	83.60 
A	NAT	P_HTHAB	HR	: 	: 	: 	: 	: 	: 	83.17 	74.41 	68.72 	70.10 	70.73 	74.87 	77.62 	85.18 	94.97 	95.22 
A	NAT	P_HTHAB	HU	141.41 	148.09 	157.02 	166.49 	166.71 	173.46 	174.03 	167.85 	170.69 	168.23 	159.02 	158.90 	161.26 	172.07 	169.82 	175.77 
A	NAT	P_HTHAB	IE	67.90 	74.49 	73.06 	72.44 	72.27 	66.52 	61.51 	73.73 	: 	: 	71.26 	69.37 	64.82 	64.54 	73.48 	75.75 
A	NAT	P_HTHAB	IS	35.19 	36.63 	44.08 	38.31 	36.30 	37.91 	40.53 	33.42 	27.07 	31.33 	30.13 	35.30 	29.38 	29.83 	26.31 	21.41 
A	NAT	P_HTHAB	IT	63.57 	70.34 	74.20 	73.57 	72.64 	69.54 	60.69 	58.57 	60.71 	63.92 	66.72 	70.01 	61.81 	64.01 	66.60 	70.81 
A	NAT	P_HTHAB	LI	36.77 	39.34 	41.79 	52.56 	30.16 	46.15 	32.32 	29.44 	26.58 	31.74 	23.61 	18.24 	49.04 	: 	12.72 	7.56 
A	NAT	P_HTHAB	LT	246.22 	268.13 	287.69 	320.78 	320.14 	306.60 	287.99 	247.39 	232.09 	227.71 	226.42 	215.09 	186.75 	175.95 	171.31 	153.92 
A	NAT	P_HTHAB	LU	42.58 	44.17 	43.42 	36.93 	38.11 	37.61 	29.29 	31.09 	31.41 	32.34 	27.41 	25.25 	23.96 	26.78 	24.17 	22.25 
A	NAT	P_HTHAB	LV	295.01 	322.26 	219.57 	214.16 	201.49 	250.42 	232.73 	216.66 	208.28 	188.25 	177.73 	174.43 	160.35 	165.06 	167.93 	167.60 
A	NAT	P_HTHAB	ME	189.75 	228.47 	216.80 	201.02 	182.01 	133.68 	120.51 	154.32 	134.84 	149.75 	152.81 	144.33 	109.03 	123.56 	142.79 	140.59 
A	NAT	P_HTHAB	MK	: 	105.44 	: 	: 	: 	: 	: 	: 	141.36 	139.75 	: 	: 	: 	: 	105.38 	115.80 
A	NAT	P_HTHAB	MT	: 	: 	: 	: 	: 	: 	: 	1.40 	70.16 	74.30 	79.46 	73.75 	65.30 	58.71 	56.63 	59.59 
A	NAT	P_HTHAB	NL	71.87 	69.82 	69.47 	67.62 	65.35 	61.46 	58.02 	53.00 	51.65 	51.62 	52.77 	54.38 	50.11 	51.67 	49.92 	50.62 
A	NAT	P_HTHAB	NO	: 	: 	: 	: 	55.88 	51.95 	54.27 	50.94 	53.56 	52.70 	47.79 	46.02 	47.06 	50.73 	51.54 	46.33 
A	NAT	P_HTHAB	PL	221.52 	223.29 	215.13 	216.16 	223.03 	209.25 	207.28 	189.90 	188.44 	193.92 	189.00 	193.04 	176.74 	186.38 	185.62 	196.31 
A	NAT	P_HTHAB	PT	81.65 	83.65 	87.23 	95.84 	104.45 	110.96 	112.26 	114.42 	112.27 	110.80 	107.40 	106.67 	94.53 	97.41 	102.28 	97.65 
A	NAT	P_HTHAB	RO	126.10 	129.71 	130.63 	142.37 	157.46 	166.03 	149.91 	141.24 	137.41 	117.92 	105.16 	104.78 	111.37 	118.55 	119.91 	122.80 
A	NAT	P_HTHAB	RS	129.50 	147.01 	149.10 	150.05 	138.80 	134.78 	139.73 	136.50 	145.75 	148.53 	150.74 	154.07 	146.59 	147.48 	152.90 	165.21 
A	NAT	P_HTHAB	SE	: 	: 	: 	: 	45.47 	40.50 	31.05 	30.44 	30.02 	29.09 	30.37 	33.43 	36.89 	41.02 	44.58 	51.45 
A	NAT	P_HTHAB	SI	: 	: 	: 	55.60 	59.11 	59.01 	66.57 	61.47 	57.65 	: 	55.98 	53.58 	49.29 	36.84 	46.32 	44.88 
A	NAT	P_HTHAB	SK	: 	169.96 	182.44 	191.58 	196.95 	176.77 	181.74 	179.51 	180.31 	180.47 	185.28 	188.96 	188.72 	180.28 	175.39 	169.82 
A	NAT	P_HTHAB	TR	: 	159.49 	162.74 	170.92 	177.23 	191.73 	204.07 	224.53 	249.28 	284.32 	317.12 	343.33 	309.72 	341.78 	385.29 	327.74 
A	NAT	P_HTHAB	UKC-L	129.42 	128.74 	127.96 	130.51 	129.85 	127.08 	129.35 	130.25 	128.89 	129.29 	124.43 	: 	: 	: 	: 	: 
A	NAT	P_HTHAB	UKM	145.76 	146.71 	144.49 	149.70 	146.41 	143.34 	142.22 	139.06 	: 	: 	: 	: 	: 	: 	: 	: 
A	NAT	P_HTHAB	UKN	78.97 	78.04 	75.82 	84.61 	85.98 	90.44 	85.78 	71.73 	69.41 	68.89 	67.49 	: 	: 	: 	: 	: 
A	NAT	P_HTHAB	XK	: 	: 	: 	76.92 	: 	: 	: 	: 	87.94 	83.77 	82.57 	94.95 	72.61 	: 	: 	: 
A	TOTAL	NR	AL	4916 	4667 	4657 	4659 	4618 	4998 	5689 	5981 	6031 	5674 	5316 	5045 	4614 	4956 	5060 	5017 
A	TOTAL	NR	AT	8248 	8708 	8540 	8770 	8805 	8862 	8692 	8665 	8619 	8852 	9163 	9072 	8488 	8436 	8993 	9089 
A	TOTAL	NR	BA	: 	: 	2743 	2757 	: 	2898 	2825 	2730 	2832 	2820 	4377 	4482 	4097 	4108 	4081 	3498 
A	TOTAL	NR	BE	9811 	10126 	10526 	11040 	11183 	11818 	: 	10994 	: 	10471 	10261 	10794 	10357 	10769 	11050 	11983 
A	TOTAL	NR	BG	9408 	9006 	9379 	9885 	9493 	8834 	7870 	7408 	7345 	6988 	6651 	6448 	6251 	5873 	5577 	5526 
A	TOTAL	NR	CH	5303 	5605 	5765 	5626 	6102 	6652 	6519 	6498 	6507 	6564 	6602 	6568 	6183 	6113 	6252 	6629 
A	TOTAL	NR	CY	652 	578 	636 	622 	678 	553 	532 	547 	586 	592 	619 	759 	601 	795 	958 	959 
A	TOTAL	NR	CZ	20502 	21853 	21900 	23170 	22644 	16645 	18658 	20866 	22481 	22159 	21577 	21048 	19286 	18748 	19052 	19569 
A	TOTAL	NR	DE	73793 	72295 	70827 	69543 	68533 	66221 	63228 	63020 	64291 	65841 	65762 	63146 	59585 	57525 	57465 	59165 
A	TOTAL	NR	DK	3451 	3721 	3944 	3947 	3829 	4091 	3583 	3203 	3408 	3418 	3635 	3920 	4166 	4222 	4208 	4154 
A	TOTAL	NR	EE	3656 	3555 	3393 	3400 	3286 	3023 	3034 	2823 	2864 	2723 	2584 	2487 	2348 	2189 	2073 	1841 
A	TOTAL	NR	EL	11736 	11364 	12349 	12479 	12475 	12693 	11798 	9611 	9560 	10011 	10654 	10891 	11379 	11030 	10526 	10242 
A	TOTAL	NR	ES	73558 	76079 	73929 	70472 	68597 	66765 	65017 	61614 	59589 	58812 	58883 	58517 	55180 	55097 	55751 	56698 
A	TOTAL	NR	FI	3530 	3589 	3364 	3268 	3306 	3295 	3148 	3135 	3156 	3082 	2956 	2945 	2751 	2811 	2861 	2962 
A	TOTAL	NR	FR	62252 	60978 	60544 	64787 	66572 	67075 	66270 	66678 	68432 	68974 	70059 	70739 	62543 	69448 	72173 	75913 
A	TOTAL	NR	HR	4734 	4891 	5165 	5084 	4741 	4352 	3763 	3341 	3108 	3190 	3217 	3533 	3531 	3905 	4091 	4445 
A	TOTAL	NR	HU	14743 	15432 	16328 	17210 	17179 	17841 	17890 	17449 	17658 	17343 	16303 	16334 	16752 	18623 	19347 	17939 
A	TOTAL	NR	IE	3484 	3868 	4318 	4216 	4287 	4088 	3777 	3755 	3718 	3680 	3962 	4017 	3810 	3806 	4369 	4731 
A	TOTAL	NR	IS	140 	148 	167 	150 	153 	147 	154 	139 	116 	137 	136 	158 	141 	142 	138 	138 
A	TOTAL	NR	IT	59284 	65598 	69263 	68325 	67102 	63848 	54745 	53410 	55978 	59038 	61131 	62232 	54605 	55349 	57455 	61568 
A	TOTAL	NR	LI	78 	149 	76 	71 	60 	68 	53 	53 	72 	73 	63 	43 	57 	52 	58 	48 
A	TOTAL	NR	LT	8000 	8655 	9139 	9920 	9729 	9261 	8636 	7355 	6815 	6599 	6485 	6138 	5320 	5086 	4973 	4551 
A	TOTAL	NR	LU	762 	702 	681 	637 	666 	656 	626 	691 	: 	684 	656 	594 	557 	617 	705 	605 
A	TOTAL	NR	LV	6548 	7055 	6780 	6561 	6117 	5136 	4745 	4409 	4243 	3765 	3522 	3414 	3104 	3183 	3229 	3271 
A	TOTAL	NR	ME	1216 	1499 	1457 	1328 	1331 	1064 	1123 	1131 	1123 	1119 	1125 	1090 	810 	920 	1026 	1046 
A	TOTAL	NR	MK	: 	: 	: 	: 	: 	: 	: 	: 	3231 	3031 	: 	: 	: 	: 	2227 	2265 
A	TOTAL	NR	MT	662 	494 	584 	584 	585 	615 	581 	569 	553 	591 	635 	754 	864 	614 	559 	672 
A	TOTAL	NR	NL	14610 	14364 	14368 	13969 	13473 	12721 	11934 	10850 	10601 	10874 	11251 	11777 	11024 	11309 	11238 	11681 
A	TOTAL	NR	NO	3477 	3340 	3564 	3866 	4052 	3869 	4103 	4056 	4192 	4164 	3791 	3561 	3533 	3651 	3687 	3432 
A	TOTAL	NR	PL	84978 	85749 	82372 	82832 	85459 	80165 	79345 	72695 	72209 	74480 	72818 	74612 	68354 	72269 	71723 	74505 
A	TOTAL	NR	PT	10807 	11287 	11839 	12955 	13875 	14535 	14198 	14373 	13917 	13587 	13021 	12947 	11502 	11704 	12502 	12321 
A	TOTAL	NR	RO	26212 	26716 	28244 	30694 	31817 	33434 	30156 	28334 	27455 	23450 	20792 	20578 	21753 	22989 	23082 	23650 
A	TOTAL	NR	RS	9701 	10975 	11211 	11070 	10226 	10031 	10288 	10064 	10672 	10807 	10871 	11077 	10540 	10557 	10787 	11701 
A	TOTAL	NR	SE	7073 	7286 	6846 	6669 	6296 	5723 	5807 	5691 	5658 	5713 	6114 	6719 	7297 	7776 	8414 	9748 
A	TOTAL	NR	SI	1318 	1365 	1351 	1273 	1377 	1360 	1522 	1399 	1308 	: 	1346 	1396 	1449 	1136 	1380 	1438 
A	TOTAL	NR	SK	8166 	9316 	10031 	10525 	10850 	9753 	10020 	9913 	9995 	10028 	10294 	10555 	10519 	10104 	9839 	9724 
A	TOTAL	NR	TR	: 	116340 	120814 	128604 	136020 	145468 	159397 	178257 	200727 	233415 	264842 	291546 	267883 	297863 	341294 	291911 
A	TOTAL	NR	UKC-L	81674 	81836 	84004 	84428 	84886 	81884 	83678 	84444 	83604 	84441 	81904 	: 	: 	: 	: 	: 
A	TOTAL	NR	UKM	7827 	7964 	7853 	8178 	8057 	7894 	7731 	7744 	7579 	7436 	: 	: 	: 	: 	: 	: 
A	TOTAL	NR	UKN	1543 	1525 	1465 	1673 	1682 	1796 	1709 	1447 	1407 	1411 	1407 	: 	: 	: 	: 	: 
A	TOTAL	NR	XK	: 	: 	: 	1441 	1737 	1776 	1854 	1478 	1648 	1709 	1567 	1806 	1396 	: 	: 	: 
A	TOTAL	P_HTHAB	AL	155.08 	: 	: 	: 	: 	: 	196.45 	206.79 	208.97 	197.25 	185.21 	176.25 	162.12 	175.14 	181.13 	181.66 
A	TOTAL	P_HTHAB	AT	99.28 	104.48 	102.26 	104.71 	104.72 	104.85 	102.18 	101.03 	99.18 	100.90 	103.86 	102.41 	95.36 	94.44 	100.16 	99.83 
A	TOTAL	P_HTHAB	BA	: 	: 	71.36 	71.74 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A	TOTAL	P_HTHAB	BE	91.98 	94.17 	97.10 	100.36 	100.79 	105.88 	: 	97.84 	: 	92.24 	90.02 	94.23 	89.89 	93.20 	95.11 	102.05 
A	TOTAL	P_HTHAB	BG	125.14 	120.61 	126.37 	134.14 	129.56 	121.27 	108.62 	102.86 	102.67 	98.40 	94.34 	92.11 	89.92 	84.91 	81.55 	85.70 
A	TOTAL	P_HTHAB	CH	69.84 	72.77 	74.04 	71.49 	76.71 	82.75 	80.09 	78.88 	78.14 	77.96 	77.82 	76.87 	71.84 	70.51 	71.54 	75.20 
A	TOTAL	P_HTHAB	CY	83.98 	72.53 	77.64 	74.07 	78.65 	63.87 	62.00 	64.58 	69.08 	69.26 	71.62 	86.65 	67.68 	88.73 	105.89 	101.04 
A	TOTAL	P_HTHAB	CZ	198.21 	209.61 	209.33 	220.95 	215.55 	158.28 	177.49 	198.00 	213.01 	209.47 	203.36 	197.64 	180.35 	175.19 	181.16 	180.73 
A	TOTAL	P_HTHAB	DE	89.75 	88.16 	86.58 	86.69 	85.32 	82.24 	78.28 	77.61 	78.24 	79.79 	79.43 	76.06 	71.65 	69.18 	69.04 	71.18 
A	TOTAL	P_HTHAB	DK	63.02 	67.51 	71.26 	70.98 	68.61 	73.02 	63.67 	56.59 	59.71 	59.46 	62.88 	67.52 	71.55 	72.29 	71.64 	70.02 
A	TOTAL	P_HTHAB	EE	273.15 	266.14 	254.48 	255.70 	247.96 	228.98 	230.58 	214.70 	217.64 	206.97 	195.89 	187.72 	176.68 	164.58 	155.65 	134.78 
A	TOTAL	P_HTHAB	EL	110.13 	102.43 	111.06 	112.19 	112.53 	115.35 	107.97 	88.52 	88.65 	92.97 	99.19 	101.55 	106.16 	103.29 	100.63 	98.35 
A	TOTAL	P_HTHAB	ES	161.07 	164.53 	159.03 	151.01 	146.52 	142.88 	139.78 	132.65 	128.31 	126.40 	126.20 	124.67 	116.58 	116.24 	117.54 	117.91 
A	TOTAL	P_HTHAB	FI	66.6 	67.38 	62.86 	60.80 	61.21 	60.72 	57.75 	57.29 	57.51 	56.00 	53.62 	53.37 	49.79 	50.80 	51.57 	53.24 
A	TOTAL	P_HTHAB	FR	97.26 	94.76 	93.64 	99.70 	101.98 	102.25 	100.50 	100.29 	102.50 	103.25 	104.69 	105.30 	92.90 	102.65 	106.34 	111.18 
A	TOTAL	P_HTHAB	HR	109.79 	113.49 	120.04 	118.51 	110.88 	102.11 	88.61 	79.07 	74.16 	76.79 	78.36 	86.67 	87.01 	96.75 	105.92 	115.43 
A	TOTAL	P_HTHAB	HU	146.76 	153.84 	163.05 	172.35 	172.97 	180.05 	181.12 	177.05 	179.62 	177.01 	166.73 	167.14 	171.47 	191.38 	199.68 	186.87 
A	TOTAL	P_HTHAB	IE	78.16 	85.55 	94.91 	92.24 	93.55 	89.04 	82.01 	81.12 	78.67 	76.92 	82.02 	81.91 	76.75 	76.02 	86.34 	89.75 
A	TOTAL	P_HTHAB	IS	44.38 	46.34 	52.58 	47.10 	47.88 	45.67 	47.29 	42.24 	34.88 	40.49 	39.03 	44.26 	38.72 	38.50 	36.68 	35.59 
A	TOTAL	P_HTHAB	IT	101.08 	111.18 	117.02 	115.09 	112.98 	106.97 	90.07 	87.85 	92.27 	97.44 	101.07 	104.04 	91.56 	93.44 	97.33 	104.36 
A	TOTAL	P_HTHAB	LI	220.61 	418.67 	211.73 	196.41 	164.50 	184.59 	142.75 	141.84 	191.38 	193.07 	165.29 	112.04 	147.11 	133.15 	147.55 	120.98 
A	TOTAL	P_HTHAB	LT	249.02 	271.84 	290.87 	324.97 	323.91 	311.62 	293.40 	251.77 	235.93 	231.71 	230.87 	219.67 	190.40 	181.92 	177.23 	159.28 
A	TOTAL	P_HTHAB	LU	157.5 	142.25 	135.64 	124.45 	126.89 	122.15 	113.88 	122.74 	: 	115.80 	108.97 	96.76 	88.96 	97.21 	109.24 	91.55 
A	TOTAL	P_HTHAB	LV	298.75 	326.19 	319.74 	316.25 	299.15 	253.78 	237.08 	221.99 	215.49 	193.07 	182.07 	177.82 	162.71 	168.13 	172.14 	173.71 
A	TOTAL	P_HTHAB	ME	197.55 	242.89 	235.38 	214.25 	214.57 	171.37 	180.69 	181.80 	180.48 	179.79 	180.76 	175.19 	130.25 	148.21 	166.10 	169.61 
A	TOTAL	P_HTHAB	MK	: 	: 	: 	: 	: 	: 	: 	: 	155.99 	146.16 	: 	: 	: 	: 	121.22 	123.77 
A	TOTAL	P_HTHAB	MT	162.32 	120.22 	141.05 	140.73 	140.10 	145.95 	136.58 	129.41 	122.78 	128.40 	133.49 	152.77 	167.91 	118.97 	107.30 	123.97 
A	TOTAL	P_HTHAB	NL	89.06 	87.13 	86.68 	83.87 	80.53 	75.81 	70.91 	64.20 	62.44 	63.66 	65.48 	68.15 	63.33 	64.71 	63.89 	65.58 
A	TOTAL	P_HTHAB	NO	73.4 	69.59 	73.36 	78.57 	81.27 	76.59 	80.33 	78.51 	80.45 	79.19 	71.59 	66.83 	65.82 	67.72 	67.96 	62.53 
A	TOTAL	P_HTHAB	PL	222.95 	224.85 	216.64 	217.62 	224.52 	210.61 	208.70 	191.27 	190.19 	196.14 	191.74 	196.49 	180.08 	190.99 	190.48 	202.71 
A	TOTAL	P_HTHAB	PT	102.4 	106.85 	111.97 	122.53 	131.61 	138.60 	136.16 	138.54 	134.58 	131.79 	126.53 	125.99 	111.71 	113.65 	120.77 	117.16 
A	TOTAL	P_HTHAB	RO	127.02 	130.70 	131.60 	143.34 	158.33 	167.00 	151.18 	142.59 	138.94 	119.37 	106.46 	105.99 	112.54 	119.72 	121.21 	124.12 
A	TOTAL	P_HTHAB	RS	131.71 	149.63 	153.44 	152.66 	141.70 	139.68 	143.95 	141.46 	150.81 	153.50 	155.27 	159.07 	152.16 	153.63 	158.70 	176.19 
A	TOTAL	P_HTHAB	SE	77.02 	78.71 	73.29 	70.83 	66.39 	59.89 	60.21 	58.39 	57.44 	57.16 	60.41 	65.68 	70.66 	74.92 	80.50 	92.65 
A	TOTAL	P_HTHAB	SI	65.56 	67.16 	66.00 	62.09 	66.99 	66.06 	73.84 	67.82 	63.37 	: 	65.12 	67.09 	69.14 	53.86 	65.49 	67.93 
A	TOTAL	P_HTHAB	SK	151.9 	173.08 	186.09 	195.18 	200.77 	180.25 	185.01 	182.85 	184.20 	184.50 	189.12 	193.65 	192.73 	185.06 	181.04 	179.12 
A	TOTAL	P_HTHAB	TR	: 	162.67 	166.50 	174.44 	182.03 	192.35 	207.91 	229.43 	254.92 	292.45 	327.73 	355.53 	322.15 	356.23 	403.04 	342.30 
A	TOTAL	P_HTHAB	UKC-L	149.54 	148.69 	151.46 	150.95 	150.59 	144.27 	146.35 	146.42 	143.78 	144.19 	138.91 	: 	: 	: 	: 	: 
A	TOTAL	P_HTHAB	UKM	150.93 	152.66 	149.68 	154.87 	151.84 	148.38 	144.84 	144.57 	140.64 	137.34 	: 	: 	: 	: 	: 	: 
A	TOTAL	P_HTHAB	UKN	87.16 	85.38 	81.43 	92.45 	92.47 	98.32 	93.02 	78.34 	75.70 	75.59 	75.00 	: 	: 	: 	: 	: 
A	TOTAL	P_HTHAB	XK	: 	: 	: 	80.32 	: 	: 	: 	: 	93.02 	95.82 	87.13 	100.58 	78.33 	: 	: 	: 
