freq,leg_stat,citizen,unit,geo\TIME_PERIOD	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,PER_CNV,TOTAL,P_HTHAB,AT	460.11 	454.32 	459.72 	435.35 	422.70 	407.29 	387.69 	374.50 	349.98 	350.47 	313.47 	307.99 	266.44 	265.67 	272.48 	274.94 
A,PER_CNV,TOTAL,P_HTHAB,BA	440.99 	460.64 	449.89 	408.75 	464.83 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,PER_CNV,TOTAL,P_HTHAB,BE	: 	: 	1300.66 	1298.85 	1472.06 	1270.93 	1051.21 	1175.75 	385.27 	2099.12 	2014.28 	1771.98 	1388.22 	: 	: 	: 
A,PER_CNV,TOTAL,P_HTHAB,BG	480.67 	547.36 	526.42 	556.53 	518.56 	468.29 	439.56 	385.81 	395.61 	363.29 	340.04 	334.13 	314.88 	348.74 	370.95 	357.29 
A,PER_CNV,TOTAL,P_HTHAB,CH	1317.55 	1331.19 	1373.46 	1294.81 	1371.81 	1332.23 	1337.62 	1320.99 	1301.69 	1248.95 	1251.57 	1137.22 	1129.09 	1140.81 	1183.73 	1201.49 
A,PER_CNV,TOTAL,P_HTHAB,CY	8214.90 	7838.33 	9240.54 	10337.95 	8299.78 	7023.97 	8007.93 	6386.60 	5342.80 	5086.21 	4570.74 	4563.88 	4002.34 	3745.84 	4087.96 	: 
A,PER_CNV,TOTAL,P_HTHAB,CZ	733.63 	707.74 	675.30 	669.04 	680.32 	741.49 	692.75 	622.20 	582.00 	526.57 	513.17 	522.02 	426.02 	473.06 	477.59 	474.71 
A,PER_CNV,TOTAL,P_HTHAB,DE	1063.87 	1029.87 	994.19 	1006.97 	963.43 	938.78 	927.08 	910.73 	897.92 	867.70 	860.39 	877.95 	840.80 	796.22 	777.75 	790.32 
A,PER_CNV,TOTAL,P_HTHAB,DK	2978.47 	3143.55 	3317.21 	3604.84 	3756.50 	3680.67 	3720.97 	3448.44 	3324.72 	3095.18 	3162.05 	885.95 	966.55 	904.74 	896.89 	964.56 
A,PER_CNV,TOTAL,P_HTHAB,EE	864.74 	590.01 	684.85 	751.47 	727.28 	642.11 	582.91 	560.89 	578.98 	510.32 	432.25 	430.47 	372.39 	343.52 	288.11 	: 
A,PER_CNV,TOTAL,P_HTHAB,EL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	50.81 	45.55 	41.23 
A,PER_CNV,TOTAL,P_HTHAB,ES	529.34 	556.12 	534.16 	549.40 	541.92 	526.07 	502.83 	509.89 	612.52 	642.58 	643.62 	641.38 	491.57 	624.08 	679.45 	610.05 
A,PER_CNV,TOTAL,P_HTHAB,FI	4486.04 	3875.66 	3850.75 	3775.10 	3536.49 	3366.32 	3174.60 	3320.58 	2843.54 	1497.77 	1502.27 	1503.39 	1460.41 	1459.04 	1397.96 	1416.38 
A,PER_CNV,TOTAL,P_HTHAB,FR	1099.40 	1093.78 	1055.52 	1020.98 	1040.52 	1017.65 	874.29 	864.42 	703.17 	698.97 	815.02 	818.06 	679.17 	782.83 	740.73 	758.46 
A,PER_CNV,TOTAL,P_HTHAB,HR	582.70 	611.51 	589.26 	564.19 	495.18 	402.66 	363.85 	307.01 	328.75 	299.07 	296.38 	326.16 	293.29 	310.92 	326.98 	299.23 
A,PER_CNV,TOTAL,P_HTHAB,HU	840.75 	866.33 	892.15 	852.32 	758.07 	709.73 	772.65 	727.89 	729.22 	701.55 	681.92 	655.32 	555.76 	569.20 	576.53 	579.97 
A,PER_CNV,TOTAL,P_HTHAB,IE	: 	69.58 	72.71 	69.61 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,PER_CNV,TOTAL,P_HTHAB,IT	443.93 	427.24 	429.77 	448.14 	437.62 	413.80 	373.36 	363.35 	326.67 	321.38 	357.10 	: 	: 	: 	: 	: 
A,PER_CNV,TOTAL,P_HTHAB,LT	398.06 	409.88 	445.32 	448.70 	553.69 	657.15 	691.63 	591.29 	536.88 	634.08 	704.15 	628.59 	574.78 	536.90 	533.11 	515.07 
A,PER_CNV,TOTAL,P_HTHAB,LU	: 	: 	: 	: 	: 	: 	: 	: 	1463.43 	1616.14 	1362.95 	1235.07 	1198.52 	1265.42 	922.53 	995.14 
A,PER_CNV,TOTAL,P_HTHAB,LV	500.91 	494.81 	453.95 	443.17 	437.30 	426.22 	460.31 	481.25 	454.30 	474.95 	443.92 	421.83 	371.81 	361.76 	263.95 	228.68 
A,PER_CNV,TOTAL,P_HTHAB,ME	: 	: 	108.72 	180.85 	232.79 	521.51 	500.55 	442.86 	596.58 	566.85 	537.31 	580.38 	595.46 	569.48 	486.01 	441.71 
A,PER_CNV,TOTAL,P_HTHAB,MK	499.61 	514.93 	473.32 	511.94 	465.97 	485.48 	587.87 	: 	: 	133.53 	: 	241.49 	322.74 	387.47 	437.15 	373.51 
A,PER_CNV,TOTAL,P_HTHAB,NL	701.30 	696.65 	592.16 	560.54 	525.27 	549.42 	528.12 	541.08 	481.76 	480.46 	457.17 	444.55 	341.48 	355.37 	355.55 	375.57 
A,PER_CNV,TOTAL,P_HTHAB,NO	1403.85 	1336.98 	1378.76 	1314.57 	1272.16 	1327.35 	1250.18 	1261.90 	1196.44 	1135.80 	281.55 	276.51 	265.54 	250.44 	236.28 	231.50 
A,PER_CNV,TOTAL,P_HTHAB,PL	1174.55 	1154.36 	1198.36 	1172.46 	1127.28 	978.24 	819.99 	716.40 	792.44 	661.24 	751.83 	781.87 	689.06 	: 	: 	: 
A,PER_CNV,TOTAL,P_HTHAB,PT	832.54 	740.94 	735.58 	735.96 	751.37 	678.64 	506.95 	573.14 	550.60 	504.08 	453.68 	440.92 	340.66 	410.72 	439.94 	402.06 
A,PER_CNV,TOTAL,P_HTHAB,RO	178.31 	167.44 	195.19 	222.18 	244.77 	235.43 	204.70 	212.76 	165.58 	180.19 	164.87 	173.49 	162.88 	183.93 	172.81 	164.99 
A,PER_CNV,TOTAL,P_HTHAB,RS	602.36 	583.26 	319.17 	456.41 	465.92 	485.82 	523.45 	493.58 	488.34 	474.30 	447.02 	427.76 	385.84 	420.44 	403.30 	427.23 
A,PER_CNV,TOTAL,P_HTHAB,SE	756.34 	774.77 	797.69 	782.53 	749.88 	673.84 	628.96 	608.82 	575.16 	574.00 	598.45 	612.97 	668.07 	718.56 	733.20 	760.42 
A,PER_CNV,TOTAL,P_HTHAB,SI	459.04 	415.92 	411.49 	388.50 	429.34 	571.10 	472.03 	399.49 	339.41 	315.65 	305.97 	300.64 	238.90 	283.27 	264.19 	248.37 
A,PER_CNV,TOTAL,P_HTHAB,SK	533.49 	575.08 	578.42 	558.37 	649.05 	666.79 	620.57 	547.67 	501.41 	484.42 	539.86 	521.63 	465.24 	433.02 	464.68 	441.41 
A,PER_CNV,TOTAL,P_HTHAB,TR	: 	1801.43 	1671.99 	1678.51 	2027.22 	661.94 	642.86 	670.84 	583.17 	558.09 	687.25 	722.40 	592.05 	827.95 	805.83 	800.01 
A,PER_CNV,TOTAL,P_HTHAB,UKC-L	2481.26 	2543.38 	2451.50 	2335.87 	2173.09 	2066.57 	2118.27 	2151.98 	2118.28 	: 	: 	: 	: 	: 	: 	: 
A,PER_CNV,TOTAL,P_HTHAB,UKM	1164.66 	1081.63 	1043.85 	1008.39 	906.57 	858.23 	: 	: 	: 	1527.61 	: 	: 	: 	: 	: 	: 
A,PER_CNV,TOTAL,P_HTHAB,UKN	2203.95 	2213.60 	2202.76 	2240.24 	2139.38 	1931.18 	1449.74 	1320.48 	1236.16 	1265.91 	1328.44 	: 	: 	: 	: 	: 
A,PER_CNV,TOTAL,P_HTHAB,XK	615.57 	615.17 	449.48 	1023.70 	: 	: 	: 	: 	1047.30 	1094.40 	1136.17 	1002.47 	: 	: 	: 	: 
A,PER_PRSC,FOR,NR,AL	: 	: 	: 	: 	: 	152 	125 	162 	140 	164 	241 	: 	: 	: 	: 	: 
A,PER_PRSC,FOR,NR,AT	: 	: 	: 	: 	: 	: 	: 	100954 	: 	: 	: 	: 	: 	: 	: 	: 
A,PER_PRSC,FOR,NR,BA	15 	20 	52 	76 	53 	36 	20 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,PER_PRSC,FOR,NR,BE	116565 	127744 	136707 	144324 	133973 	133694 	132371 	160137 	159976 	156271 	158898 	161605 	162394 	149751 	131511 	136806 
A,PER_PRSC,FOR,NR,CZ	6865 	6965 	6068 	6113 	6310 	6364 	6290 	6108 	6482 	6517 	6633 	6814 	5706 	5847 	7048 	8105 
A,PER_PRSC,FOR,NR,DK	7364 	8245 	8419 	9967 	13147 	12523 	12511 	15180 	14521 	14747 	17332 	17953 	17349 	16906 	18193 	18646 
A,PER_PRSC,FOR,NR,EL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2355 	1885 	3009 
A,PER_PRSC,FOR,NR,FI	19970 	18739 	21937 	22977 	21852 	20833 	20132 	21714 	19471 	11114 	11037 	11101 	9597 	9033 	9404 	10061 
A,PER_PRSC,FOR,NR,FR	: 	: 	: 	92613 	104707 	104534 	105017 	561588 	106255 	100958 	117877 	120229 	105956 	120902 	131105 	127721 
A,PER_PRSC,FOR,NR,HR	: 	: 	: 	: 	: 	: 	27 	28 	38 	13 	11 	21 	19 	16 	6 	9 
A,PER_PRSC,FOR,NR,HU	3184 	3057 	3203 	3015 	2693 	2554 	2754 	3702 	5112 	2755 	: 	3238 	6998 	4249 	5747 	7001 
A,PER_PRSC,FOR,NR,IS	: 	: 	: 	193 	288 	326 	302 	329 	350 	502 	525 	720 	665 	511 	521 	550 
A,PER_PRSC,FOR,NR,IT	148065 	342558.6378 	334603.9745861 	341071.98 	328516.6916 	345002 	365291.882717456 	371027.837160504 	358893 	341638 	448529 	: 	: 	: 	: 	: 
A,PER_PRSC,FOR,NR,LI	: 	: 	: 	: 	: 	: 	: 	628 	619 	722 	625 	: 	858 	787 	1061 	968 
A,PER_PRSC,FOR,NR,LT	186 	203 	228 	211 	335 	512 	543 	479 	496 	556 	554 	563 	475 	542 	886 	874 
A,PER_PRSC,FOR,NR,LU	: 	: 	: 	: 	: 	: 	: 	12071 	10323 	12961 	7009 	7281 	6068 	6294 	6540 	6820 
A,PER_PRSC,FOR,NR,LV	: 	: 	: 	: 	249 	314 	331 	471 	545 	410 	394 	339 	357 	359 	419 	513 
A,PER_PRSC,FOR,NR,ME	978 	796 	712 	724 	684 	572 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,PER_PRSC,FOR,NR,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	239 	150 	135 	182 	255 
A,PER_PRSC,FOR,NR,MT	: 	: 	: 	: 	: 	: 	: 	844 	: 	: 	: 	: 	: 	: 	: 	: 
A,PER_PRSC,FOR,NR,NO	11338 	11903 	12739 	13310 	13987 	15367 	15309 	14657 	14734 	13776 	12850 	12407 	11135 	9961 	9863 	9739 
A,PER_PRSC,FOR,NR,PT	15302 	14590 	14759 	14387 	14487 	12905 	9041 	10239 	9750 	9157 	8149 	7981 	6601 	8740 	9661 	9655 
A,PER_PRSC,FOR,NR,RO	1098 	835 	856 	810 	710 	581 	991 	1222 	894 	760 	673 	614 	609 	558 	595 	680 
A,PER_PRSC,FOR,NR,SI	: 	: 	: 	: 	: 	: 	400 	433 	412 	362 	329 	583 	347 	856 	862 	860 
A,PER_PRSC,FOR,NR,SK	: 	: 	1059 	1111 	1235 	1258 	3207 	917 	681 	1308 	1369 	1267 	1144 	1075 	1291 	1500 
A,PER_PRSC,FOR,NR,TR	: 	31182 	30614 	27886 	26695 	31709 	46816 	57475 	52575 	68394 	94448 	135323 	114003 	147230 	197949 	237804 
A,PER_PRSC,FOR,P_HTHAB,AL	: 	: 	: 	: 	: 	: 	4.31 	5.60 	4.87 	5.70 	8.40 	: 	: 	: 	: 	: 
A,PER_PRSC,FOR,P_HTHAB,AT	: 	: 	: 	: 	: 	: 	: 	1177.13 	: 	: 	: 	: 	: 	: 	: 	: 
A,PER_PRSC,FOR,P_HTHAB,BA	0.39 	0.52 	1.35 	1.98 	1.38 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,PER_PRSC,FOR,P_HTHAB,BE	1092.78 	1187.98 	1261.15 	1311.96 	1207.52 	1197.80 	1183.91 	1425.05 	1414.33 	1376.63 	1394.01 	1410.72 	1409.37 	1296.01 	1132.00 	1165.02 
A,PER_PRSC,FOR,P_HTHAB,CZ	66.37 	66.81 	58.00 	58.29 	60.06 	60.52 	59.83 	57.96 	61.42 	61.60 	62.52 	63.98 	53.36 	55.71 	67.02 	74.86 
A,PER_PRSC,FOR,P_HTHAB,DK	134.48 	149.59 	152.11 	179.24 	235.58 	223.52 	222.33 	268.21 	254.43 	256.52 	299.80 	309.21 	297.95 	289.48 	309.75 	314.29 
A,PER_PRSC,FOR,P_HTHAB,EL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	22.05 	18.02 	28.89 
A,PER_PRSC,FOR,P_HTHAB,FI	376.76 	351.82 	409.93 	427.46 	404.57 	383.90 	369.31 	396.84 	354.84 	201.95 	200.19 	201.18 	173.69 	163.23 	169.50 	180.82 
A,PER_PRSC,FOR,P_HTHAB,FR	: 	: 	: 	142.53 	160.40 	159.35 	158.72 	845.02 	159.45 	151.11 	175.87 	178.97 	157.03 	178.51 	192.54 	187.06 
A,PER_PRSC,FOR,P_HTHAB,HR	: 	: 	: 	: 	: 	: 	0.64 	0.66 	0.91 	0.31 	0.27 	0.52 	0.47 	0.40 	0.16 	0.23 
A,PER_PRSC,FOR,P_HTHAB,HU	31.70 	30.48 	31.98 	30.19 	27.11 	25.78 	27.88 	37.56 	52.00 	28.12 	: 	33.13 	72.22 	44.02 	59.80 	72.93 
A,PER_PRSC,FOR,P_HTHAB,IS	: 	: 	: 	60.61 	90.12 	101.29 	92.73 	99.97 	105.25 	148.37 	150.67 	201.69 	182.63 	138.56 	138.47 	141.84 
A,PER_PRSC,FOR,P_HTHAB,IT	252.44 	580.60 	565.30 	574.54 	553.11 	578.04 	600.98 	610.29 	591.59 	563.86 	741.57 	: 	: 	: 	: 	: 
A,PER_PRSC,FOR,P_HTHAB,LI	: 	: 	: 	: 	: 	: 	: 	1680.67 	1645.31 	1909.55 	1639.82 	: 	2214.36 	2015.11 	2699.20 	2439.70 
A,PER_PRSC,FOR,P_HTHAB,LT	5.79 	6.38 	7.26 	6.91 	11.15 	17.23 	18.45 	16.40 	17.17 	19.52 	19.72 	20.15 	16.90 	19.28 	31.58 	30.59 
A,PER_PRSC,FOR,P_HTHAB,LU	: 	: 	: 	: 	: 	: 	: 	2144.21 	1791.41 	2194.30 	1164.28 	1186.04 	969.16 	991.60 	1013.33 	1032.07 
A,PER_PRSC,FOR,P_HTHAB,LV	: 	: 	: 	: 	12.18 	15.52 	16.54 	23.71 	27.68 	21.02 	20.37 	17.66 	18.71 	18.96 	22.34 	27.24 
A,PER_PRSC,FOR,P_HTHAB,ME	158.88 	128.98 	115.02 	116.80 	110.27 	92.13 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,PER_PRSC,FOR,P_HTHAB,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	11.51 	7.22 	6.53 	9.91 	13.93 
A,PER_PRSC,FOR,P_HTHAB,MT	: 	: 	: 	: 	: 	: 	: 	196.58 	: 	: 	: 	: 	: 	: 	: 	: 
A,PER_PRSC,FOR,P_HTHAB,NO	239.34 	248.02 	262.22 	270.51 	280.53 	304.22 	299.71 	283.69 	282.76 	261.98 	242.65 	232.85 	207.45 	184.76 	181.80 	177.43 
A,PER_PRSC,FOR,P_HTHAB,PT	145.00 	138.12 	139.59 	136.08 	137.42 	123.05 	86.71 	98.69 	94.28 	88.82 	79.19 	77.66 	63.62 	84.08 	92.71 	91.81 
A,PER_PRSC,FOR,P_HTHAB,RO	5.32 	4.09 	3.99 	3.78 	3.53 	2.90 	4.97 	6.15 	4.52 	3.87 	3.45 	3.16 	3.15 	2.91 	3.12 	3.57 
A,PER_PRSC,FOR,P_HTHAB,SI	: 	: 	: 	: 	: 	: 	19.41 	20.99 	19.96 	17.52 	15.92 	28.02 	16.56 	40.59 	40.91 	40.62 
A,PER_PRSC,FOR,P_HTHAB,SK	: 	: 	19.65 	20.60 	22.85 	23.25 	59.21 	16.91 	12.55 	24.06 	25.15 	23.25 	20.96 	19.69 	23.75 	27.63 
A,PER_PRSC,FOR,P_HTHAB,TR	: 	43.60 	42.19 	37.83 	35.72 	41.93 	61.06 	73.97 	66.77 	85.69 	116.88 	165.02 	137.10 	176.08 	233.76 	278.85 
A,PER_PRSC,NAT,NR,AL	: 	: 	: 	: 	: 	12043 	19322 	19721 	: 	: 	16008 	: 	: 	: 	: 	: 
A,PER_PRSC,NAT,NR,AT	: 	: 	: 	: 	: 	: 	: 	169335 	: 	: 	: 	: 	: 	: 	: 	: 
A,PER_PRSC,NAT,NR,BA	20935 	19253 	19353 	21178 	21538 	20230 	20287 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,PER_PRSC,NAT,NR,BE	456573 	467799 	465287 	459335 	419445 	410810 	411825 	401708 	387156 	383543 	388273 	416852 	489535 	466154 	429120 	430599 
A,PER_PRSC,NAT,NR,CZ	103545 	106250 	95065 	96654 	96869 	99314 	97118 	85364 	78364 	70703 	70090 	70507 	62164 	58534 	61381 	62336 
A,PER_PRSC,NAT,NR,DK	51157 	53708 	52952 	63328 	82892 	69614 	65521 	81069 	75059 	71917 	82027 	81311 	80343 	71217 	77877 	75439 
A,PER_PRSC,NAT,NR,EL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	5876 	4952 	7612 
A,PER_PRSC,NAT,NR,FI	221978 	191717 	188099 	184087 	173420 	165862 	156616 	162220 	139336 	74406 	75102 	74914 	73803 	75141 	71521 	72429 
A,PER_PRSC,NAT,NR,FR	: 	: 	: 	574617 	570995 	565673 	562365 	104460 	579065 	573438 	580986 	575578 	499057 	532115 	529375 	540315 
A,PER_PRSC,NAT,NR,HR	: 	: 	: 	: 	: 	: 	1923 	1713 	1494 	1561 	1185 	1192 	1060 	984 	1049 	1087 
A,PER_PRSC,NAT,NR,HU	89522 	89583 	96879 	85017 	74072 	76478 	76955 	71592 	68801 	65518 	: 	105231 	104609 	114878 	110830 	118067 
A,PER_PRSC,NAT,NR,IS	: 	: 	: 	1764 	2323 	2511 	2187 	2066 	1983 	1784 	1907 	2064 	1978 	1653 	1491 	1114 
A,PER_PRSC,NAT,NR,IT	415883 	1235390.362 	1226933.025413 	1201982.0 	1216992.308 	1233133 	1283173.11728254 	1239103.1628395 	1187719 	1082761 	1413069 	: 	: 	: 	: 	: 
A,PER_PRSC,NAT,NR,LI	: 	: 	: 	: 	: 	: 	: 	380 	345 	366 	426 	: 	426 	428 	332 	166 
A,PER_PRSC,NAT,NR,LT	16381 	17407 	18047 	18225 	19948 	22433 	22199 	19182 	17116 	24343 	20574 	18456 	17548 	15736 	15257 	14930 
A,PER_PRSC,NAT,NR,LU	: 	: 	: 	: 	: 	: 	: 	6808 	5909 	4758 	3434 	3661 	3400 	3492 	3676 	3967 
A,PER_PRSC,NAT,NR,LV	: 	: 	: 	: 	8262 	9133 	8833 	9589 	10068 	9375 	8981 	9069 	8876 	8452 	8129 	8329 
A,PER_PRSC,NAT,NR,ME	7443 	7193 	6603 	6120 	5901 	6014 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,PER_PRSC,NAT,NR,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	12541 	14164 	12687 	12720 	11752 
A,PER_PRSC,NAT,NR,MT	: 	: 	: 	: 	: 	: 	: 	1853 	: 	: 	: 	: 	: 	: 	: 	: 
A,PER_PRSC,NAT,NR,NO	58594 	54975 	55390 	53348 	51621 	51294 	49639 	49588 	49733 	43981 	42547 	40756 	38798 	36771 	35179 	33431 
A,PER_PRSC,NAT,NR,PT	125716 	110578 	109346 	106132 	106184 	97769 	71478 	80238 	76459 	69001 	61639 	59480 	44963 	54929 	58042 	52476 
A,PER_PRSC,NAT,NR,RO	43975 	48908 	56093 	60170 	59029 	65130 	49351 	57687 	62828 	59079 	58064 	61458 	59256 	62359 	61688 	58940 
A,PER_PRSC,NAT,NR,SI	: 	: 	: 	: 	: 	: 	11899 	11660 	10976 	10703 	8527 	8303 	8518 	7263 	6781 	7146 
A,PER_PRSC,NAT,NR,SK	: 	: 	52498 	50899 	52865 	52641 	3201 	1726 	2085 	38370 	34379 	32835 	30722 	28287 	28622 	27559 
A,PER_PRSC,NAT,NR,TR	: 	3030454 	3185726 	3207106 	3380313 	2514641 	2535663 	2547620 	2330417 	2575049 	2976944 	3564064 	3078998 	3544625 	3797637 	3765433 
A,PER_PRSC,NAT,P_HTHAB,AL	: 	: 	: 	: 	: 	: 	667.20 	681.84 	: 	: 	557.71 	: 	: 	: 	: 	: 
A,PER_PRSC,NAT,P_HTHAB,AT	: 	: 	: 	: 	: 	: 	: 	1974.46 	: 	: 	: 	: 	: 	: 	: 	: 
A,PER_PRSC,NAT,P_HTHAB,BA	544.64 	500.86 	503.45 	551.05 	560.99 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,PER_PRSC,NAT,P_HTHAB,BE	4280.29 	4350.37 	4292.35 	4175.53 	3780.54 	3680.55 	3683.31 	3574.78 	3422.79 	3378.72 	3406.33 	3638.87 	4248.54 	4034.30 	3693.70 	3666.92 
A,PER_PRSC,NAT,P_HTHAB,CZ	1001.07 	1019.11 	908.66 	921.68 	922.08 	944.40 	923.84 	810.04 	742.52 	668.34 	660.60 	662.05 	581.30 	557.74 	583.65 	575.72 
A,PER_PRSC,NAT,P_HTHAB,DK	934.23 	974.48 	956.72 	1138.86 	1485.38 	1242.52 	1164.36 	1432.39 	1315.15 	1251.00 	1418.86 	1400.45 	1379.81 	1219.46 	1325.92 	1271.59 
A,PER_PRSC,NAT,P_HTHAB,EL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	55.03 	47.34 	73.09 
A,PER_PRSC,NAT,P_HTHAB,FI	4187.88 	3599.43 	3514.93 	3424.70 	3210.73 	3056.42 	2873.02 	2964.68 	2539.24 	1352.03 	1362.24 	1357.65 	1335.73 	1357.86 	1289.08 	1301.75 
A,PER_PRSC,NAT,P_HTHAB,FR	: 	: 	: 	884.32 	874.73 	862.30 	849.93 	157.18 	868.97 	858.31 	866.80 	856.80 	739.63 	785.66 	777.44 	791.35 
A,PER_PRSC,NAT,P_HTHAB,HR	: 	: 	: 	: 	: 	: 	45.28 	40.54 	35.65 	37.58 	28.86 	29.24 	26.12 	24.38 	27.16 	28.23 
A,PER_PRSC,NAT,P_HTHAB,HU	891.17 	893.06 	967.40 	851.39 	745.80 	771.82 	779.10 	726.41 	699.87 	668.72 	: 	1076.78 	1079.63 	1190.27 	1153.23 	1229.90 
A,PER_PRSC,NAT,P_HTHAB,IS	: 	: 	: 	553.93 	726.90 	780.16 	671.54 	627.77 	596.34 	527.27 	547.28 	578.17 	543.21 	448.22 	396.28 	287.29 
A,PER_PRSC,NAT,P_HTHAB,IT	709.06 	2093.86 	2072.87 	2024.74 	2049.01 	2066.06 	2111.08 	2038.15 	1957.81 	1787.05 	2336.27 	: 	: 	: 	: 	: 
A,PER_PRSC,NAT,P_HTHAB,LI	: 	: 	: 	: 	: 	: 	: 	1016.97 	917.02 	968.00 	1117.70 	: 	1099.44 	1095.89 	844.61 	418.38 
A,PER_PRSC,NAT,P_HTHAB,LT	509.90 	546.73 	574.38 	597.03 	664.13 	754.84 	754.18 	656.63 	592.54 	854.77 	732.46 	660.51 	624.49 	559.85 	543.73 	522.53 
A,PER_PRSC,NAT,P_HTHAB,LU	: 	: 	: 	: 	: 	: 	: 	1209.33 	1025.42 	805.53 	570.43 	596.36 	543.04 	550.16 	569.57 	600.32 
A,PER_PRSC,NAT,P_HTHAB,LV	: 	: 	: 	: 	404.05 	451.27 	441.33 	482.81 	511.34 	480.74 	464.28 	472.35 	465.28 	446.43 	433.37 	442.32 
A,PER_PRSC,NAT,P_HTHAB,ME	1209.18 	1165.51 	1066.72 	987.34 	951.30 	968.60 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,PER_PRSC,NAT,P_HTHAB,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	603.77 	682.19 	613.25 	692.39 	642.20 
A,PER_PRSC,NAT,P_HTHAB,MT	: 	: 	: 	: 	: 	: 	: 	431.59 	: 	: 	: 	: 	: 	: 	: 	: 
A,PER_PRSC,NAT,P_HTHAB,NO	1236.90 	1145.49 	1140.13 	1084.24 	1035.35 	1015.47 	971.80 	959.80 	954.44 	836.41 	803.44 	764.91 	722.82 	682.03 	648.43 	609.06 
A,PER_PRSC,NAT,P_HTHAB,PT	1191.24 	1046.84 	1034.15 	1003.83 	1007.21 	932.26 	685.49 	773.39 	739.35 	669.29 	598.96 	578.79 	433.36 	528.45 	556.97 	498.98 
A,PER_PRSC,NAT,P_HTHAB,RO	213.10 	239.27 	261.36 	280.99 	293.74 	325.32 	247.41 	290.31 	317.95 	300.75 	297.25 	316.56 	306.57 	324.76 	323.95 	309.32 
A,PER_PRSC,NAT,P_HTHAB,SI	: 	: 	: 	: 	: 	: 	577.32 	565.23 	531.73 	518.08 	412.55 	399.01 	406.42 	344.38 	321.80 	337.56 
A,PER_PRSC,NAT,P_HTHAB,SK	: 	: 	973.91 	943.89 	978.20 	972.88 	59.10 	31.84 	38.42 	705.94 	631.60 	602.43 	562.89 	518.10 	526.65 	507.65 
A,PER_PRSC,NAT,P_HTHAB,TR	: 	4237.38 	4390.39 	4350.21 	4523.72 	3325.04 	3307.33 	3278.96 	2959.60 	3226.28 	3683.86 	4346.21 	3702.72 	4239.25 	4484.68 	4415.40 
A,PER_PRSC,TOTAL,NR,AL	11882 	11389 	10857 	10882 	11484 	12043 	19322 	19721 	17446 	16356 	16249 	14723 	13409 	16196 	16246 	13963 
A,PER_PRSC,TOTAL,NR,AT	303762 	285550 	278848 	283954 	286507 	286949 	303654 	303037 	310090 	313381 	300664 	332622 	305834 	301567 	336157 	364380 
A,PER_PRSC,TOTAL,NR,BA	20950 	19273 	20010 	22448 	22677 	20363 	21064 	20026 	17223 	15922 	15038 	13890 	11452 	13365 	12532 	12532 
A,PER_PRSC,TOTAL,NR,BE	613091 	635294 	638423 	637694 	591321 	581896 	582356 	557098 	541718 	537912 	546725 	584716 	677467 	633613 	562478 	567321 
A,PER_PRSC,TOTAL,NR,BG	52149 	52883 	55210 	57063 	49484 	47243 	43077 	38861 	38469 	37087 	33318 	31993 	30861 	31764 	30915 	30360 
A,PER_PRSC,TOTAL,NR,CH	: 	: 	: 	: 	: 	: 	108877 	108456 	107674 	102579 	: 	: 	: 	: 	: 	: 
A,PER_PRSC,TOTAL,NR,CY	103829 	102179 	117854 	138744 	129126 	104344 	125843 	96039 	82891 	70960 	60282 	71190 	53630 	58704 	64276 	: 
A,PER_PRSC,TOTAL,NR,CZ	110410 	113215 	101133 	102767 	103179 	105678 	103408 	91472 	84846 	77220 	76723 	77321 	67780 	64381 	68429 	70441 
