freq,leg_stat,citizen,unit,geo\TIME_PERIOD	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,PER_SUSP,NAT,NR,DE	1700236 	1688580 	1603821 	1556275 	1528110 	1555711 	1532112 	1457172 	1407062 	1380566 	1342886 	1319950 	1306418 	1252876 	1309906 	1323498 
A,PER_SUSP,NAT,NR,DK	: 	: 	: 	: 	: 	: 	: 	21766 	21720 	21117 	21664 	23990 	25203 	24869 	24825 	22688 
A,PER_SUSP,NAT,NR,EL	151865 	136163 	118100 	74290 	83404 	68049 	66151 	70658 	78090 	76657 	77282 	78075 	77591 	84039 	106043 	112953 
A,PER_SUSP,NAT,NR,ES	195269 	211517 	206607 	247690 	245610 	251988 	246143 	273278 	262184 	267950 	275809 	283128 	283190 	306924 	334801 	358424 
A,PER_SUSP,NAT,NR,FI	: 	: 	: 	: 	: 	405266 	379471 	379095 	381857 	393722 	422277 	395504 	273648 	135802 	130039 	133085 
A,PER_SUSP,NAT,NR,FR	931248 	940602 	919640 	931242 	924168 	916387 	933710 	973606 	951647 	958877 	1412283 	1410257 	1303236 	1434097 	1442241 	1534947 
A,PER_SUSP,NAT,NR,HR	28715 	29569 	28605 	28210 	25131 	21350 	19050 	18722 	17749 	16671 	15627 	17106 	17396 	18408 	18797 	19681 
A,PER_SUSP,NAT,NR,HU	151045 	138459 	158121 	150318 	141410 	139936 	114279 	99848 	90309 	87348 	54863 	131339 	130473 	141112 	136902 	145043 
A,PER_SUSP,NAT,NR,IS	: 	: 	: 	: 	: 	: 	4788 	4352 	4141 	4251 	4338 	4227 	3972 	4129 	3875 	3913 
A,PER_SUSP,NAT,NR,IT	587833 	593109 	593478 	617706 	642992 	671336 	675975 	659838 	632447 	616432 	590951 	590114 	560709 	565938 	539609 	527864 
A,PER_SUSP,NAT,NR,LI	499 	544 	142 	437 	187 	: 	606 	598 	577 	: 	: 	164 	192 	156 	174 	: 
A,PER_SUSP,NAT,NR,LT	22867 	23716 	24096 	23965 	28615 	30162 	30052 	26289 	20578 	27168 	23497 	22818 	24313 	21223 	21114 	20680 
A,PER_SUSP,NAT,NR,LU	6942 	7983 	8593 	9370 	9806 	10584 	11376 	10968 	10481 	8693 	9357 	11031 	11934 	12286 	12010 	: 
A,PER_SUSP,NAT,NR,LV	25829 	26542 	24972 	24511 	24576 	21459 	21178 	22288 	14078 	13692 	12713 	12697 	12144 	11634 	11526 	11514 
A,PER_SUSP,NAT,NR,ME	5852 	5765 	5067 	4395 	3751 	4159 	3682 	3319 	3132 	3045 	3794 	3268 	5916 	4929 	3556 	3688 
A,PER_SUSP,NAT,NR,MT	3144 	3239 	3993 	4443 	4440 	4565 	4386 	4518 	4350 	4312 	4524 	4131 	4042 	4648 	4508 	4910 
A,PER_SUSP,NAT,NR,NL	: 	: 	: 	: 	: 	: 	168627 	156482 	145691 	130269 	: 	: 	: 	: 	: 	: 
A,PER_SUSP,NAT,NR,NO	72301 	68369 	68309 	65863 	64005 	63691 	62281 	62210 	61908 	56735 	54525 	53536 	54526 	51145 	48188 	47412 
A,PER_SUSP,NAT,NR,PL	514485 	519665 	513835 	519700 	498387 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,PER_SUSP,NAT,NR,RO	229419 	234751 	242328 	212204 	237819 	239110 	208583 	183901 	193179 	189010 	195300 	198594 	170175 	194630 	203950 	207394 
A,PER_SUSP,NAT,NR,RS	55299 	53964 	53356 	50601 	48735 	46508 	47142 	47941 	47636 	48691 	48309 	48627 	45002 	44073 	43010 	42506 
A,PER_SUSP,NAT,NR,SI	15114 	16871 	17438 	16563 	15831 	15440 	15392 	13572 	13282 	12877 	12839 	12882 	12706 	11273 	12364 	12368 
A,PER_SUSP,NAT,NR,SK	: 	: 	: 	: 	: 	: 	49885 	44245 	42149 	41188 	39884 	38814 	35216 	32945 	33324 	32525 
A,PER_SUSP,NAT,NR,TR	: 	1262447 	1394451 	1490772 	1668260 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,PER_SUSP,NAT,P_HTHAB,AL	: 	: 	: 	: 	: 	: 	: 	1274.76 	1188.90 	1234.90 	1359.92 	1482.27 	1417.80 	1366.73 	1346.26 	1403.15 
A,PER_SUSP,NAT,P_HTHAB,AT	2109.27 	2118.62 	2044.70 	2176.24 	2129.48 	2067.88 	1953.96 	1839.68 	1891.96 	1878.72 	1962.72 	2058.47 	1878.24 	1823.54 	1936.86 	1971.36 
A,PER_SUSP,NAT,P_HTHAB,BA	: 	: 	346.98 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,PER_SUSP,NAT,P_HTHAB,BE	1482.49 	1512.00 	1476.94 	1460.99 	1360.64 	1322.83 	1328.83 	979.58 	1082.86 	1097.77 	1103.03 	1125.25 	1752.50 	1308.26 	1041.44 	988.53 
A,PER_SUSP,NAT,P_HTHAB,BG	719.87 	724.55 	774.28 	675.38 	602.25 	573.01 	46.06 	697.11 	709.85 	686.93 	665.74 	640.98 	617.81 	611.92 	661.04 	682.35 
A,PER_SUSP,NAT,P_HTHAB,CH	: 	872.32 	759.18 	714.40 	711.02 	708.47 	651.50 	657.92 	636.98 	633.85 	637.37 	634.10 	631.08 	601.26 	576.96 	556.10 
A,PER_SUSP,NAT,P_HTHAB,CZ	1097.13 	1101.82 	1004.58 	1025.12 	1004.36 	1047.21 	1017.94 	895.18 	810.52 	749.00 	723.83 	728.71 	641.81 	599.70 	639.54 	642.97 
A,PER_SUSP,NAT,P_HTHAB,DE	2067.96 	2059.18 	1960.61 	1939.96 	1902.34 	1931.99 	1896.94 	1794.60 	1712.26 	1672.97 	1621.99 	1589.93 	1570.84 	1506.67 	1573.70 	1592.30 
A,PER_SUSP,NAT,P_HTHAB,DK	: 	: 	: 	: 	: 	: 	: 	384.58 	380.57 	367.33 	374.73 	413.19 	432.84 	425.84 	422.67 	382.43 
A,PER_SUSP,NAT,P_HTHAB,EL	1358.09 	1227.27 	1062.12 	667.87 	752.31 	618.42 	605.40 	650.74 	724.15 	711.88 	719.49 	728.00 	723.89 	786.98 	1013.82 	1084.63 
A,PER_SUSP,NAT,P_HTHAB,ES	427.58 	457.44 	444.44 	530.76 	524.60 	539.27 	529.20 	588.33 	564.56 	575.89 	591.12 	603.21 	598.30 	647.54 	705.04 	745.39 
A,PER_SUSP,NAT,P_HTHAB,FI	: 	: 	: 	: 	: 	7468.04 	6961.15 	6928.22 	6958.91 	7154.29 	7659.48 	7167.63 	4952.64 	2454.05 	2343.79 	2391.91 
A,PER_SUSP,NAT,P_HTHAB,FR	1454.91 	1461.69 	1422.30 	1433.15 	1415.76 	1396.92 	1415.95 	1464.99 	1428.08 	1435.23 	2107.06 	2099.30 	1931.47 	2117.42 	2118.09 	2248.11 
A,PER_SUSP,NAT,P_HTHAB,HR	665.94 	686.09 	664.79 	657.60 	587.72 	500.92 	448.57 	443.09 	423.54 	401.30 	380.64 	419.65 	428.67 	456.06 	486.68 	511.08 
A,PER_SUSP,NAT,P_HTHAB,HU	1503.62 	1380.31 	1578.95 	1505.33 	1423.79 	1412.24 	1156.98 	1013.11 	918.66 	891.53 	561.06 	1343.93 	1346.56 	1462.08 	1424.52 	1510.90 
A,PER_SUSP,NAT,P_HTHAB,IS	: 	: 	: 	: 	: 	: 	1470.20 	1322.39 	1245.30 	1256.40 	1244.94 	1184.06 	1090.81 	1119.60 	1029.91 	1009.13 
A,PER_SUSP,NAT,P_HTHAB,IT	1002.22 	1005.26 	1002.66 	1040.53 	1082.58 	1124.79 	1112.12 	1085.34 	1042.51 	1017.39 	977.04 	986.54 	940.13 	955.39 	914.12 	894.73 
A,PER_SUSP,NAT,P_HTHAB,LI	1411.36 	1528.56 	395.61 	1208.89 	512.68 	: 	1632.15 	1600.39 	1533.68 	: 	: 	427.33 	495.52 	399.44 	442.66 	: 
A,PER_SUSP,NAT,P_HTHAB,LT	711.79 	744.88 	766.91 	785.07 	952.68 	1014.90 	1020.97 	899.92 	712.40 	953.96 	836.52 	816.62 	865.24 	755.06 	752.46 	723.77 
A,PER_SUSP,NAT,P_HTHAB,LU	1434.89 	1617.63 	1711.53 	1830.65 	1868.33 	1970.81 	2069.57 	1948.28 	1818.83 	1471.73 	1554.31 	1796.89 	1906.06 	1935.63 	1860.87 	: 
A,PER_SUSP,NAT,P_HTHAB,LV	1178.43 	1227.19 	1177.64 	1181.48 	1201.87 	1060.32 	1058.12 	1122.20 	715.00 	702.11 	657.21 	661.31 	636.59 	614.51 	614.47 	611.47 
A,PER_SUSP,NAT,P_HTHAB,ME	950.71 	934.12 	818.58 	709.04 	604.70 	669.84 	592.42 	533.52 	503.36 	489.25 	609.62 	525.25 	951.32 	794.05 	575.70 	598.03 
A,PER_SUSP,NAT,P_HTHAB,MT	770.91 	788.22 	964.43 	1070.63 	1063.36 	1083.39 	1021.37 	1027.54 	965.78 	936.79 	951.02 	836.98 	785.08 	900.56 	866.63 	905.82 
A,PER_SUSP,NAT,P_HTHAB,NL	: 	: 	: 	: 	: 	: 	1001.99 	925.89 	858.06 	762.63 	: 	: 	: 	: 	: 	: 
A,PER_SUSP,NAT,P_HTHAB,NO	1526.25 	1424.58 	1406.06 	1338.60 	1283.73 	1260.89 	1219.29 	1204.10 	1188.09 	1078.96 	1029.62 	1004.76 	1015.84 	948.65 	888.21 	863.77 
A,PER_SUSP,NAT,P_HTHAB,PL	1349.80 	1362.67 	1351.38 	1365.38 	1309.35 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,PER_SUSP,NAT,P_HTHAB,RO	1111.77 	1148.47 	1129.09 	990.97 	1183.41 	1194.35 	1045.67 	925.49 	977.61 	962.18 	999.82 	1022.92 	880.42 	1013.61 	1071.03 	1088.42 
A,PER_SUSP,NAT,P_HTHAB,RS	750.78 	735.71 	730.24 	697.80 	675.31 	647.61 	659.63 	673.86 	673.17 	691.61 	689.99 	698.29 	649.69 	641.38 	632.77 	640.04 
A,PER_SUSP,NAT,P_HTHAB,SI	751.84 	830.12 	851.89 	807.88 	770.18 	749.94 	746.79 	657.92 	643.45 	623.31 	621.18 	619.06 	606.24 	534.52 	586.76 	584.23 
A,PER_SUSP,NAT,P_HTHAB,SK	: 	: 	: 	: 	: 	: 	921.08 	816.13 	776.76 	757.78 	732.74 	712.13 	645.23 	603.41 	613.17 	599.12 
A,PER_SUSP,NAT,P_HTHAB,TR	: 	1765.24 	1921.76 	2022.13 	2232.55 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,PER_SUSP,TOTAL,NR,AL	13085 	11989 	15107 	17773 	21028 	21843 	29593 	37112 	34674 	36051 	39649 	43045 	40956 	39328 	38198 	39489 
A,PER_SUSP,TOTAL,NR,AT	240554 	246378 	239954 	259028 	259923 	260150 	255815 	250580 	270160 	270630 	288414 	304422 	276344 	266961 	302503 	329969 
A,PER_SUSP,TOTAL,NR,BA	12065 	25395 	27407 	29113 	29253 	27505 	25856 	22186 	21589 	: 	19216 	18575 	18247 	19083 	18176 	18303 
A,PER_SUSP,TOTAL,NR,BE	264433 	278531 	275665 	284684 	274645 	271918 	261631 	170515 	189420 	195083 	199089 	204636 	315387 	240384 	196595 	193602 
A,PER_SUSP,TOTAL,NR,BG	55504 	55400 	59206 	51277 	46071 	44591 	55873 	53403 	53054 	50522 	48449 	46219 	44354 	44351 	45246 	46469 
A,PER_SUSP,TOTAL,NR,CH	: 	132907 	121867 	119634 	125109 	127624 	118874 	121469 	121657 	119941 	122353 	122199 	116515 	115044 	120000 	126633 
A,PER_SUSP,TOTAL,NR,CY	9840 	9316 	9685 	6243 	6385 	5956 	5605 	5218 	4474 	4642 	4347 	4358 	3813 	4239 	5349 	5561 
A,PER_SUSP,TOTAL,NR,CZ	122053 	123235 	112477 	114975 	113026 	117596 	114392 	101597 	93093 	86787 	84990 	86209 	75405 	69749 	75474 	79356 
A,PER_SUSP,TOTAL,NR,DE	2255693 	2250339 	2152803 	2112843 	2094118 	2094160 	2149504 	2369036 	2360806 	2132876 	2051266 	2019211 	1969617 	1892003 	2093782 	2246767 
A,PER_SUSP,TOTAL,NR,DK	: 	: 	: 	: 	: 	: 	: 	35160 	34826 	33608 	34042 	36080 	35724 	35555 	37115 	34347 
A,PER_SUSP,TOTAL,NR,EE	18249 	15620 	16924 	19744 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,PER_SUSP,TOTAL,NR,EL	216241 	196694 	171406 	130923 	120526 	98771 	100269 	110325 	111534 	115443 	124257 	122305 	113139 	117565 	144770 	163192 
A,PER_SUSP,TOTAL,NR,ES	350801 	334045 	322884 	377965 	369612 	374807 	349924 	377694 	365072 	372760 	389149 	406138 	413810 	451654 	506562 	554986 
A,PER_SUSP,TOTAL,NR,FI	401971 	446701 	462985 	467458 	416883 	424881 	398953 	398477 	401952 	414491 	445114 	417374 	293152 	151164 	145554 	150421 
A,PER_SUSP,TOTAL,NR,FR	1172393 	1174837 	1146315 	1172547 	1152159 	1106022 	1111882 	1154490 	1129039 	1143435 	1711529 	1720831 	1594939 	1771447 	1802848 	1894974 
A,PER_SUSP,TOTAL,NR,HR	31740 	32431 	31252 	30929 	27453 	22350 	20019 	19783 	18728 	17873 	17399 	18675 	18966 	20656 	20904 	23100 
A,PER_SUSP,TOTAL,NR,HU	156350 	143860 	163860 	156736 	147559 	145106 	119546 	105144 	97151 	91427 	57943 	135839 	138619 	146404 	143824 	153063 
A,PER_SUSP,TOTAL,NR,IE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	122941 	111268 	99082 	104538 	107884 
A,PER_SUSP,TOTAL,NR,IS	: 	4614 	: 	3895 	3711 	: 	5685 	5401 	5481 	6112 	6596 	6421 	5708 	5874 	5821 	6313 
A,PER_SUSP,TOTAL,NR,IT	889793 	869132 	867842 	900870 	933895 	978082 	980845 	961949 	893689 	878632 	869304 	854657 	801372 	830802 	818619 	796644 
A,PER_SUSP,TOTAL,NR,LI	1392 	1496 	1049 	1379 	584 	: 	1701 	1707 	1647 	: 	: 	523 	602 	496 	544 	: 
A,PER_SUSP,TOTAL,NR,LT	20904 	21327 	21736 	21600 	26446 	30722 	30652 	26825 	21094 	27738 	24075 	23444 	24883 	22066 	22355 	21857 
A,PER_SUSP,TOTAL,NR,LU	18162 	22457 	20579 	23945 	25952 	27315 	29450 	28436 	27777 	23911 	25757 	29036 	31590 	32353 	34660 	: 
A,PER_SUSP,TOTAL,NR,LV	26446 	23810 	25614 	24529 	24589 	22133 	21961 	23235 	14997 	14325 	13384 	13320 	12704 	12356 	12274 	12544 
A,PER_SUSP,TOTAL,NR,ME	6774 	6637 	5833 	5067 	4362 	4790 	4285 	3852 	3606 	3591 	4425 	3868 	6641 	5619 	4115 	4343 
A,PER_SUSP,TOTAL,NR,MK	22690 	21226 	21093 	20429 	17577 	18311 	17182 	15920 	15913 	14752 	: 	: 	: 	: 	: 	: 
A,PER_SUSP,TOTAL,NR,MT	3544 	3669 	4502 	5075 	5171 	5340 	5289 	5437 	5384 	5472 	5791 	5251 	5341 	6010 	5921 	6610 
A,PER_SUSP,TOTAL,NR,NL	470955 	423420 	386430 	376685 	364070 	342535 	217105 	200400 	186910 	172550 	165960 	167850 	152810 	142040 	155810 	150450 
A,PER_SUSP,TOTAL,NR,NO	85875 	82809 	83635 	81787 	80958 	82312 	81198 	80340 	80001 	73814 	70497 	69345 	69886 	64938 	61549 	60751 
A,PER_SUSP,TOTAL,NR,PL	516626 	521699 	516154 	521942 	500539 	430101 	363616 	319399 	312423 	309015 	336886 	338584 	310684 	322200 	317079 	305577 
A,PER_SUSP,TOTAL,NR,PT	224383 	240166 	208934 	206492 	205826 	194385 	180205 	183952 	173696 	180676 	174822 	152788 	132443 	138890 	159486 	175486 
A,PER_SUSP,TOTAL,NR,RO	230419 	235611 	243035 	212875 	238434 	239636 	209022 	184526 	193790 	189520 	195809 	199150 	170508 	195002 	204473 	208221 
A,PER_SUSP,TOTAL,NR,RS	56966 	55583 	55264 	52288 	50138 	52017 	48606 	49393 	49242 	50528 	50322 	50689 	46933 	46603 	45829 	45027 
A,PER_SUSP,TOTAL,NR,SE	184251 	193905 	196046 	191561 	186857 	176062 	172431 	172681 	170971 	176993 	180770 	189190 	199930 	192092 	189678 	194503 
A,PER_SUSP,TOTAL,NR,SI	17471 	19286 	20134 	19177 	18508 	18373 	18270 	16041 	15651 	15415 	15676 	16161 	15611 	14256 	15365 	15948 
A,PER_SUSP,TOTAL,NR,SK	52573 	54887 	52050 	53023 	53507 	53853 	51049 	46429 	43426 	42911 	41426 	40339 	36324 	34162 	34890 	34210 
A,PER_SUSP,TOTAL,NR,TR	: 	1269989 	1402368 	1501230 	1678537 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,PER_SUSP,TOTAL,NR,UKM	228171 	206537 	196095 	204239 	192785 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,PER_SUSP,TOTAL,NR,UKN	81185 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,PER_SUSP,TOTAL,NR,XK	: 	: 	: 	: 	: 	: 	: 	: 	: 	35300 	34450 	33411 	30614 	: 	: 	: 
A,PER_SUSP,TOTAL,P_HTHAB,AL	412.77 	376.45 	: 	627.63 	: 	: 	1021.87 	1286.02 	1205.80 	1253.25 	1381.34 	1503.79 	1439.10 	1389.81 	1367.34 	1429.84 
A,PER_SUSP,TOTAL,P_HTHAB,AT	2895.45 	2955.94 	2873.14 	3092.81 	3091.33 	3078.02 	3007.15 	2921.79 	3105.12 	3084.85 	3269.16 	3436.39 	3104.62 	2988.59 	3369.03 	3624.13 
A,PER_SUSP,TOTAL,P_HTHAB,BA	313.88 	660.64 	712.97 	757.52 	761.94 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,PER_SUSP,TOTAL,P_HTHAB,BE	2479.01 	2590.24 	2543.06 	2587.89 	2475.43 	2436.18 	2339.99 	1517.41 	1674.64 	1718.53 	1746.61 	1786.35 	2737.15 	2080.39 	1692.21 	1648.69 
A,PER_SUSP,TOTAL,P_HTHAB,BG	738.28 	741.92 	797.73 	695.81 	628.76 	612.13 	771.12 	741.48 	741.62 	711.39 	687.22 	660.27 	638.05 	641.23 	697.97 	720.71 
A,PER_SUSP,TOTAL,P_HTHAB,CH	: 	1725.65 	1565.25 	1520.10 	1572.78 	1587.55 	1460.43 	1474.56 	1460.97 	1424.55 	1442.14 	1430.14 	1353.88 	1326.87 	1373.19 	1436.50 
A,PER_SUSP,TOTAL,P_HTHAB,CY	1267.50 	1168.99 	1182.34 	743.43 	740.71 	687.86 	653.26 	616.05 	527.40 	543.05 	502.99 	497.55 	429.39 	473.10 	591.24 	585.93 
A,PER_SUSP,TOTAL,P_HTHAB,CZ	1180.01 	1182.02 	1075.09 	1096.39 	1075.88 	1118.24 	1088.16 	964.08 	882.08 	820.38 	801.03 	809.49 	705.12 	664.60 	717.66 	732.91 
A,PER_SUSP,TOTAL,P_HTHAB,DE	2743.56 	2744.24 	2631.72 	2633.74 	2606.96 	2600.67 	2661.35 	2917.62 	2872.88 	2584.63 	2477.60 	2432.22 	2368.28 	2275.27 	2515.44 	2703.09 
A,PER_SUSP,TOTAL,P_HTHAB,DK	: 	: 	: 	: 	: 	: 	: 	621.23 	610.21 	584.61 	588.84 	621.42 	613.52 	608.81 	631.91 	578.95 
A,PER_SUSP,TOTAL,P_HTHAB,EE	1363.45 	1169.39 	1269.34 	1484.89 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,PER_SUSP,TOTAL,P_HTHAB,EL	1933.79 	1772.86 	1541.52 	1177.01 	1087.15 	897.62 	917.64 	1016.07 	1034.28 	1072.07 	1156.83 	1140.42 	1055.54 	1100.94 	1384.06 	1567.05 
A,PER_SUSP,TOTAL,P_HTHAB,ES	768.14 	722.43 	694.57 	809.92 	789.46 	802.11 	752.33 	813.13 	786.11 	801.15 	834.04 	865.28 	874.26 	952.88 	1066.74 	1154.17 
A,PER_SUSP,TOTAL,P_HTHAB,FI	7583.67 	8386.68 	8651.62 	8696.45 	7718.24 	7829.49 	7318.53 	7282.44 	7325.12 	7531.69 	8073.71 	7563.97 	5305.64 	2731.65 	2623.43 	2703.48 
A,PER_SUSP,TOTAL,P_HTHAB,FR	1831.66 	1825.69 	1772.87 	1804.51 	1765.03 	1686.00 	1686.15 	1737.17 	1694.28 	1711.48 	2553.52 	2561.61 	2363.80 	2615.51 	2647.68 	2775.41 
A,PER_SUSP,TOTAL,P_HTHAB,HR	736.09 	752.50 	726.31 	720.98 	642.03 	524.38 	471.39 	468.20 	446.90 	430.24 	423.80 	458.14 	467.35 	511.75 	541.23 	599.86 
A,PER_SUSP,TOTAL,P_HTHAB,HU	1556.43 	1434.16 	1636.26 	1569.60 	1485.70 	1464.42 	1210.30 	1066.85 	988.26 	933.16 	592.56 	1389.98 	1430.63 	1516.91 	1496.54 	1594.45 
A,PER_SUSP,TOTAL,P_HTHAB,IE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2506.83 	2219.77 	1955.48 	2028.18 	2046.59 
A,PER_SUSP,TOTAL,P_HTHAB,IS	: 	1444.73 	: 	1223.10 	1161.23 	: 	1745.63 	1641.14 	1648.28 	1806.42 	1892.95 	1798.64 	1567.55 	1592.77 	1547.12 	1628.08 
A,PER_SUSP,TOTAL,P_HTHAB,IT	1517.05 	1473.09 	1466.19 	1517.52 	1572.37 	1638.73 	1613.69 	1582.27 	1473.14 	1450.14 	1437.25 	1428.79 	1343.65 	1402.52 	1386.78 	1350.31 
A,PER_SUSP,TOTAL,P_HTHAB,LI	3937.10 	4203.55 	2922.49 	3814.77 	1601.10 	: 	4581.32 	4568.32 	4377.76 	: 	: 	1362.76 	1553.67 	1270.00 	1383.94 	: 
A,PER_SUSP,TOTAL,P_HTHAB,LT	650.69 	669.85 	691.79 	707.60 	880.46 	1033.75 	1041.36 	918.27 	730.26 	973.98 	857.10 	839.03 	885.52 	785.05 	796.69 	764.96 
A,PER_SUSP,TOTAL,P_HTHAB,LU	3754.04 	4550.56 	4098.86 	4678.22 	4944.62 	5086.22 	5357.66 	5051.18 	4820.31 	4048.14 	4278.54 	4729.81 	5045.46 	5097.13 	5370.34 	: 
A,PER_SUSP,TOTAL,P_HTHAB,LV	1206.58 	1100.87 	1207.92 	1182.35 	1202.51 	1093.62 	1097.24 	1169.88 	761.67 	734.57 	691.90 	693.76 	665.94 	652.64 	654.35 	666.17 
A,PER_SUSP,TOTAL,P_HTHAB,ME	1100.49 	1075.42 	942.32 	817.46 	703.20 	771.47 	689.44 	619.19 	579.54 	576.97 	711.00 	621.68 	1067.90 	905.21 	666.20 	704.24 
A,PER_SUSP,TOTAL,P_HTHAB,MK	1109.44 	1036.11 	1027.56 	993.01 	853.34 	887.89 	831.75 	769.39 	768.27 	711.38 	: 	: 	: 	: 	: 	: 
A,PER_SUSP,TOTAL,P_HTHAB,MT	868.99 	892.86 	1087.37 	1222.92 	1238.43 	1267.31 	1231.65 	1236.55 	1195.34 	1188.80 	1217.36 	1063.91 	1037.38 	1164.45 	1138.27 	1219.44 
A,PER_SUSP,TOTAL,P_HTHAB,NL	2870.73 	2568.39 	2331.40 	2261.58 	2176.11 	2041.38 	1290.04 	1185.75 	1100.82 	1010.16 	965.95 	971.23 	877.84 	812.80 	885.75 	844.69 
A,PER_SUSP,TOTAL,P_HTHAB,NO	1812.79 	1725.45 	1721.52 	1662.23 	1623.75 	1629.53 	1589.63 	1555.02 	1535.32 	1403.76 	1331.23 	1301.47 	1302.00 	1204.48 	1134.49 	1106.78 
A,PER_SUSP,TOTAL,P_HTHAB,PL	1355.42 	1368.00 	1357.48 	1371.27 	1315.00 	1129.99 	956.43 	840.40 	822.88 	813.78 	887.09 	891.65 	818.49 	851.48 	859.53 	831.42 
A,PER_SUSP,TOTAL,P_HTHAB,PT	2126.18 	2273.65 	1976.02 	1953.06 	1952.36 	1853.53 	1728.20 	1773.06 	1679.63 	1752.51 	1698.78 	1486.75 	1276.51 	1336.21 	1530.41 	1668.65 
A,PER_SUSP,TOTAL,P_HTHAB,RO	1116.62 	1152.68 	1132.39 	994.10 	1186.48 	1196.98 	1047.87 	928.64 	980.70 	964.78 	1002.43 	1025.78 	882.14 	1015.55 	1073.77 	1092.76 
A,PER_SUSP,TOTAL,P_HTHAB,RS	773.42 	757.78 	756.35 	721.06 	694.75 	724.32 	680.11 	694.27 	695.87 	717.70 	718.74 	727.90 	677.57 	678.20 	674.24 	678.00 
A,PER_SUSP,TOTAL,P_HTHAB,SE	2006.45 	2094.83 	2098.84 	2034.51 	1970.47 	1842.44 	1787.80 	1771.57 	1735.57 	1770.79 	1786.22 	1849.33 	1935.88 	1850.72 	1814.70 	1848.61 
A,PER_SUSP,TOTAL,P_HTHAB,SI	869.09 	948.95 	983.60 	935.38 	900.42 	892.40 	886.43 	777.60 	758.22 	746.17 	758.44 	776.63 	744.85 	675.97 	729.17 	753.34 
A,PER_SUSP,TOTAL,P_HTHAB,SK	977.91 	1019.75 	965.60 	983.28 	990.08 	995.28 	942.57 	856.41 	800.29 	789.48 	761.07 	740.11 	665.53 	625.70 	641.98 	630.16 
A,PER_SUSP,TOTAL,P_HTHAB,TR	: 	1775.78 	1932.67 	2036.31 	2246.31 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,PER_SUSP,TOTAL,P_HTHAB,UKM	4399.77 	3958.98 	3737.59 	3867.74 	3633.16 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,PER_SUSP,TOTAL,P_HTHAB,UKN	4585.78 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,PER_SUSP,TOTAL,P_HTHAB,XK	: 	: 	: 	: 	: 	: 	: 	: 	: 	1979.22 	1915.48 	1860.65 	1717.85 	: 	: 	: 
